Transaction_ID	Items
44	{income=$40,000+,sex=female,marital status=married,age=35+,education=no college graduate,occupation=homemaker,years in bay area=10+,dual incomes=no,number in household=1,number of children=0,householder status=own,type of home=house,ethnic classification=white,language in home=english}
45	{income=$0-$40,000,sex=female,marital status=single,age=14-34,education=no college graduate,occupation=student,years in bay area=1-9,dual incomes=not married,number in household=1,number of children=0,householder status=live with parents/family,type of home=house,ethnic classification=black,language in home=english}
46	{income=$0-$40,000,sex=female,marital status=married,age=35+,education=no college graduate,occupation=sales,years in bay area=10+,dual incomes=yes,number in household=2+,number of children=1+,householder status=rent,type of home=house,ethnic classification=white,language in home=english}
47	{income=$40,000+,sex=female,marital status=married,age=35+,education=no college graduate,occupation=homemaker,years in bay area=10+,dual incomes=no,number in household=1,number of children=0,householder status=own,type of home=house,ethnic classification=white,language in home=english}
50	{income=$0-$40,000,sex=female,marital status=married,age=14-34,education=no college graduate,occupation=homemaker,years in bay area=10+,dual incomes=no,number in household=2+,number of children=1+,householder status=own,type of home=house,ethnic classification=hispanic,language in home=english}
51	{income=$0-$40,000,sex=female,marital status=single,age=14-34,education=no college graduate,occupation=sales,years in bay area=10+,dual incomes=not married,number in household=1,number of children=1+,householder status=live with parents/family,type of home=condominium,ethnic classification=white,language in home=english}
52	{income=$40,000+,sex=male,marital status=divorced,age=35+,education=no college graduate,occupation=professional/managerial,years in bay area=10+,dual incomes=not married,number in household=1,number of children=0,householder status=rent,type of home=condominium,ethnic classification=white,language in home=english}
55	{income=$0-$40,000,sex=male,marital status=married,age=14-34,education=college graduate,occupation=retired,years in bay area=10+,dual incomes=yes,number in household=1,number of children=0,householder status=rent,type of home=house,ethnic classification=black,language in home=spanish}
57	{income=$0-$40,000,sex=male,marital status=single,age=14-34,education=no college graduate,occupation=student,years in bay area=10+,dual incomes=not married,number in household=2+,number of children=1+,householder status=live with parents/family,type of home=house,ethnic classification=white,language in home=english}
58	{income=$40,000+,sex=female,marital status=married,age=35+,education=no college graduate,occupation=professional/managerial,years in bay area=10+,dual incomes=yes,number in household=1,number of children=0,householder status=own,type of home=house,ethnic classification=white,language in home=english}
59	{income=$40,000+,sex=female,marital status=married,age=35+,education=college graduate,occupation=homemaker,years in bay area=10+,dual incomes=no,number in household=1,number of children=0,householder status=own,type of home=house,ethnic classification=white,language in home=english}
60	{income=$0-$40,000,sex=female,marital status=divorced,age=35+,education=no college graduate,occupation=professional/managerial,years in bay area=1-9,dual incomes=not married,number in household=1,number of children=0,householder status=own,type of home=house,ethnic classification=white,language in home=english}
61	{income=$40,000+,sex=male,marital status=married,age=14-34,education=no college graduate,occupation=laborer,years in bay area=10+,dual incomes=yes,number in household=1,number of children=1+,householder status=own,type of home=house,ethnic classification=white,language in home=english}
62	{income=$0-$40,000,sex=male,marital status=divorced,age=35+,education=no college graduate,occupation=laborer,years in bay area=10+,dual incomes=not married,number in household=1,number of children=0,householder status=own,type of home=house,ethnic classification=other,language in home=english}
63	{income=$40,000+,sex=female,marital status=married,age=14-34,education=college graduate,occupation=professional/managerial,years in bay area=1-9,dual incomes=yes,number in household=1,number of children=1+,householder status=own,type of home=condominium,ethnic classification=white,language in home=english}
64	{income=$40,000+,sex=male,marital status=married,age=35+,education=no college graduate,occupation=retired,years in bay area=10+,dual incomes=yes,number in household=2+,number of children=1+,householder status=own,type of home=house,ethnic classification=white,language in home=english}
66	{income=$0-$40,000,sex=male,marital status=single,age=14-34,education=no college graduate,occupation=student,years in bay area=10+,dual incomes=not married,number in household=2+,number of children=1+,householder status=live with parents/family,type of home=house,ethnic classification=hispanic,language in home=english}
67	{income=$0-$40,000,sex=male,marital status=single,age=14-34,education=no college graduate,occupation=student,years in bay area=10+,dual incomes=not married,number in household=2+,number of children=1+,householder status=live with parents/family,type of home=house,ethnic classification=white,language in home=english}
68	{income=$40,000+,sex=female,marital status=married,age=35+,education=no college graduate,occupation=homemaker,years in bay area=1-9,dual incomes=no,number in household=2+,number of children=1+,householder status=own,type of home=house,ethnic classification=asian,language in home=other}
69	{income=$0-$40,000,sex=male,marital status=single,age=14-34,education=no college graduate,occupation=student,years in bay area=10+,dual incomes=not married,number in household=1,number of children=0,householder status=live with parents/family,type of home=house,ethnic classification=white,language in home=english}
71	{income=$0-$40,000,sex=female,marital status=divorced,age=35+,education=no college graduate,occupation=professional/managerial,years in bay area=10+,dual incomes=not married,number in household=1,number of children=0,householder status=live with parents/family,type of home=house,ethnic classification=white,language in home=english}
72	{income=$40,000+,sex=female,marital status=married,age=35+,education=no college graduate,occupation=homemaker,years in bay area=10+,dual incomes=no,number in household=2+,number of children=1+,householder status=own,type of home=house,ethnic classification=white,language in home=english}
73	{income=$40,000+,sex=female,marital status=married,age=14-34,education=no college graduate,occupation=homemaker,years in bay area=1-9,dual incomes=no,number in household=2+,number of children=1+,householder status=own,type of home=condominium,ethnic classification=white,language in home=english}
74	{income=$0-$40,000,sex=male,marital status=single,age=14-34,education=no college graduate,occupation=clerical/service,years in bay area=10+,dual incomes=not married,number in household=2+,number of children=1+,householder status=live with parents/family,type of home=house,ethnic classification=white,language in home=english}
77	{income=$0-$40,000,sex=female,marital status=single,age=14-34,education=college graduate,occupation=professional/managerial,years in bay area=10+,dual incomes=not married,number in household=2+,number of children=0,householder status=rent,type of home=house,ethnic classification=black,language in home=other}
79	{income=$40,000+,sex=female,marital status=cohabitation,age=14-34,education=college graduate,occupation=professional/managerial,years in bay area=1-9,dual incomes=not married,number in household=1,number of children=0,householder status=rent,type of home=apartment,ethnic classification=white,language in home=english}
80	{income=$0-$40,000,sex=male,marital status=married,age=14-34,education=college graduate,occupation=student,years in bay area=1-9,dual incomes=no,number in household=1,number of children=0,householder status=rent,type of home=house,ethnic classification=white,language in home=english}
82	{income=$40,000+,sex=male,marital status=married,age=35+,education=college graduate,occupation=professional/managerial,years in bay area=10+,dual incomes=yes,number in household=1,number of children=0,householder status=own,type of home=house,ethnic classification=white,language in home=english}
83	{income=$0-$40,000,sex=female,marital status=married,age=14-34,education=no college graduate,occupation=homemaker,years in bay area=1-9,dual incomes=no,number in household=2+,number of children=1+,householder status=rent,type of home=apartment,ethnic classification=white,language in home=english}
85	{income=$40,000+,sex=female,marital status=married,age=35+,education=college graduate,occupation=homemaker,years in bay area=1-9,dual incomes=no,number in household=2+,number of children=1+,householder status=own,type of home=house,ethnic classification=white,language in home=english}
86	{income=$0-$40,000,sex=male,marital status=married,age=14-34,education=no college graduate,occupation=professional/managerial,years in bay area=1-9,dual incomes=yes,number in household=1,number of children=0,householder status=rent,type of home=apartment,ethnic classification=asian,language in home=english}
87	{income=$0-$40,000,sex=male,marital status=single,age=14-34,education=no college graduate,occupation=student,years in bay area=1-9,dual incomes=not married,number in household=1,number of children=0,householder status=rent,type of home=apartment,ethnic classification=white,language in home=english}
88	{income=$0-$40,000,sex=female,marital status=married,age=14-34,education=no college graduate,occupation=sales,years in bay area=10+,dual incomes=yes,number in household=1,number of children=0,householder status=rent,type of home=apartment,ethnic classification=white,language in home=english}
90	{income=$40,000+,sex=female,marital status=single,age=14-34,education=no college graduate,occupation=student,years in bay area=1-9,dual incomes=not married,number in household=2+,number of children=0,householder status=live with parents/family,type of home=house,ethnic classification=white,language in home=english}
91	{income=$40,000+,sex=female,marital status=married,age=35+,education=no college graduate,occupation=clerical/service,years in bay area=10+,dual incomes=yes,number in household=1,number of children=0,householder status=own,type of home=house,ethnic classification=white,language in home=english}
92	{income=$40,000+,sex=male,marital status=single,age=14-34,education=no college graduate,occupation=student,years in bay area=10+,dual incomes=not married,number in household=1,number of children=0,householder status=live with parents/family,type of home=house,ethnic classification=white,language in home=english}
93	{income=$40,000+,sex=male,marital status=single,age=14-34,education=no college graduate,occupation=student,years in bay area=10+,dual incomes=not married,number in household=2+,number of children=0,householder status=own,type of home=house,ethnic classification=hispanic,language in home=english}
94	{income=$40,000+,sex=female,marital status=married,age=35+,education=no college graduate,occupation=homemaker,years in bay area=1-9,dual incomes=not married,number in household=1,number of children=0,householder status=own,type of home=other,ethnic classification=white,language in home=other}
95	{income=$40,000+,sex=female,marital status=married,age=35+,education=no college graduate,occupation=sales,years in bay area=10+,dual incomes=yes,number in household=1,number of children=0,householder status=own,type of home=house,ethnic classification=white,language in home=english}
96	{income=$0-$40,000,sex=male,marital status=married,age=35+,education=no college graduate,occupation=retired,years in bay area=10+,dual incomes=no,number in household=1,number of children=0,householder status=own,type of home=mobile Home,ethnic classification=white,language in home=english}
97	{income=$40,000+,sex=female,marital status=married,age=35+,education=no college graduate,occupation=retired,years in bay area=10+,dual incomes=no,number in household=1,number of children=0,householder status=own,type of home=condominium,ethnic classification=white,language in home=english}
99	{income=$0-$40,000,sex=female,marital status=divorced,age=35+,education=no college graduate,occupation=retired,years in bay area=10+,dual incomes=not married,number in household=1,number of children=0,householder status=own,type of home=house,ethnic classification=white,language in home=english}
100	{income=$40,000+,sex=female,marital status=married,age=35+,education=college graduate,occupation=professional/managerial,years in bay area=10+,dual incomes=yes,number in household=2+,number of children=1+,householder status=own,type of home=house,ethnic classification=white,language in home=english}
102	{income=$40,000+,sex=female,marital status=married,age=35+,education=college graduate,occupation=professional/managerial,years in bay area=1-9,dual incomes=yes,number in household=1,number of children=0,householder status=own,type of home=house,ethnic classification=east indian,language in home=other}
103	{income=$40,000+,sex=female,marital status=married,age=35+,education=no college graduate,occupation=homemaker,years in bay area=10+,dual incomes=no,number in household=1,number of children=0,householder status=own,type of home=house,ethnic classification=other,language in home=spanish}
104	{income=$0-$40,000,sex=female,marital status=single,age=14-34,education=no college graduate,occupation=unemployed,years in bay area=1-9,dual incomes=not married,number in household=1,number of children=1+,householder status=live with parents/family,type of home=house,ethnic classification=white,language in home=english}
105	{income=$0-$40,000,sex=male,marital status=single,age=14-34,education=no college graduate,occupation=student,years in bay area=10+,dual incomes=not married,number in household=1,number of children=0,householder status=live with parents/family,type of home=house,ethnic classification=white,language in home=english}
106	{income=$40,000+,sex=male,marital status=single,age=14-34,education=no college graduate,occupation=sales,years in bay area=10+,dual incomes=not married,number in household=1,number of children=1+,householder status=live with parents/family,type of home=house,ethnic classification=white,language in home=english}
107	{income=$0-$40,000,sex=male,marital status=single,age=14-34,education=no college graduate,occupation=student,years in bay area=10+,dual incomes=not married,number in household=2+,number of children=1+,householder status=live with parents/family,type of home=house,ethnic classification=white,language in home=english}
109	{income=$0-$40,000,sex=female,marital status=single,age=14-34,education=no college graduate,occupation=professional/managerial,years in bay area=10+,dual incomes=not married,number in household=1,number of children=0,householder status=live with parents/family,type of home=apartment,ethnic classification=white,language in home=english}
110	{income=$40,000+,sex=female,marital status=married,age=35+,education=no college graduate,occupation=professional/managerial,years in bay area=10+,dual incomes=yes,number in household=2+,number of children=0,householder status=own,type of home=house,ethnic classification=american indian,language in home=english}
111	{income=$0-$40,000,sex=female,marital status=married,age=35+,education=no college graduate,occupation=homemaker,years in bay area=10+,dual incomes=no,number in household=2+,number of children=0,householder status=own,type of home=house,ethnic classification=white,language in home=english}
113	{income=$40,000+,sex=male,marital status=single,age=14-34,education=no college graduate,occupation=student,years in bay area=10+,dual incomes=not married,number in household=2+,number of children=1+,householder status=live with parents/family,type of home=house,ethnic classification=white,language in home=english}
114	{income=$0-$40,000,sex=female,marital status=cohabitation,age=14-34,education=no college graduate,occupation=clerical/service,years in bay area=1-9,dual incomes=not married,number in household=1,number of children=1+,householder status=rent,type of home=apartment,ethnic classification=american indian,language in home=english}
116	{income=$0-$40,000,sex=female,marital status=married,age=35+,education=no college graduate,occupation=retired,years in bay area=10+,dual incomes=no,number in household=1,number of children=0,householder status=own,type of home=house,ethnic classification=white,language in home=english}
118	{income=$0-$40,000,sex=female,marital status=married,age=14-34,education=college graduate,occupation=sales,years in bay area=1-9,dual incomes=yes,number in household=1,number of children=0,householder status=rent,type of home=house,ethnic classification=white,language in home=english}
119	{income=$0-$40,000,sex=male,marital status=single,age=35+,education=college graduate,occupation=professional/managerial,years in bay area=1-9,dual incomes=not married,number in household=1,number of children=0,householder status=rent,type of home=condominium,ethnic classification=white,language in home=english}
124	{income=$40,000+,sex=female,marital status=married,age=14-34,education=college graduate,occupation=homemaker,years in bay area=1-9,dual incomes=no,number in household=1,number of children=1+,householder status=own,type of home=house,ethnic classification=white,language in home=english}
126	{income=$40,000+,sex=female,marital status=cohabitation,age=35+,education=no college graduate,occupation=professional/managerial,years in bay area=10+,dual incomes=not married,number in household=1,number of children=0,householder status=own,type of home=house,ethnic classification=white,language in home=english}
128	{income=$40,000+,sex=female,marital status=married,age=35+,education=college graduate,occupation=clerical/service,years in bay area=1-9,dual incomes=yes,number in household=2+,number of children=1+,householder status=own,type of home=house,ethnic classification=white,language in home=english}
130	{income=$0-$40,000,sex=female,marital status=divorced,age=14-34,education=no college graduate,occupation=homemaker,years in bay area=10+,dual incomes=not married,number in household=2+,number of children=1+,householder status=rent,type of home=condominium,ethnic classification=white,language in home=english}
132	{income=$0-$40,000,sex=female,marital status=married,age=35+,education=college graduate,occupation=clerical/service,years in bay area=10+,dual incomes=no,number in household=1,number of children=0,householder status=own,type of home=house,ethnic classification=white,language in home=english}
133	{income=$40,000+,sex=female,marital status=married,age=35+,education=college graduate,occupation=professional/managerial,years in bay area=10+,dual incomes=yes,number in household=1,number of children=0,householder status=own,type of home=house,ethnic classification=white,language in home=english}
134	{income=$0-$40,000,sex=male,marital status=single,age=14-34,education=no college graduate,occupation=unemployed,years in bay area=10+,dual incomes=not married,number in household=2+,number of children=1+,householder status=live with parents/family,type of home=house,ethnic classification=hispanic,language in home=english}
135	{income=$40,000+,sex=female,marital status=married,age=35+,education=no college graduate,occupation=professional/managerial,years in bay area=1-9,dual incomes=yes,number in household=2+,number of children=1+,householder status=own,type of home=house,ethnic classification=white,language in home=english}
136	{income=$40,000+,sex=female,marital status=married,age=35+,education=no college graduate,occupation=professional/managerial,years in bay area=10+,dual incomes=no,number in household=1,number of children=0,householder status=own,type of home=house,ethnic classification=white,language in home=english}
138	{income=$40,000+,sex=female,marital status=married,age=35+,education=college graduate,occupation=homemaker,years in bay area=1-9,dual incomes=no,number in household=1,number of children=0,householder status=own,type of home=house,ethnic classification=white,language in home=english}
139	{income=$0-$40,000,sex=female,marital status=single,age=14-34,education=no college graduate,occupation=student,years in bay area=1-9,dual incomes=not married,number in household=2+,number of children=1+,householder status=live with parents/family,type of home=apartment,ethnic classification=asian,language in home=other}
140	{income=$40,000+,sex=male,marital status=married,age=35+,education=no college graduate,occupation=professional/managerial,years in bay area=1-9,dual incomes=yes,number in household=2+,number of children=1+,householder status=rent,type of home=house,ethnic classification=white,language in home=english}
141	{income=$40,000+,sex=male,marital status=married,age=35+,education=college graduate,occupation=professional/managerial,years in bay area=1-9,dual incomes=yes,number in household=2+,number of children=1+,householder status=own,type of home=house,ethnic classification=white,language in home=english}
142	{income=$40,000+,sex=male,marital status=married,age=35+,education=no college graduate,occupation=professional/managerial,years in bay area=10+,dual incomes=no,number in household=1,number of children=0,householder status=own,type of home=house,ethnic classification=white,language in home=english}
143	{income=$40,000+,sex=male,marital status=married,age=35+,education=college graduate,occupation=professional/managerial,years in bay area=10+,dual incomes=no,number in household=1,number of children=0,householder status=own,type of home=house,ethnic classification=white,language in home=english}
145	{income=$40,000+,sex=female,marital status=divorced,age=35+,education=no college graduate,occupation=professional/managerial,years in bay area=1-9,dual incomes=not married,number in household=1,number of children=0,householder status=own,type of home=house,ethnic classification=white,language in home=english}
146	{income=$0-$40,000,sex=female,marital status=single,age=14-34,education=college graduate,occupation=student,years in bay area=10+,dual incomes=not married,number in household=2+,number of children=1+,householder status=live with parents/family,type of home=house,ethnic classification=white,language in home=english}
147	{income=$40,000+,sex=male,marital status=married,age=35+,education=no college graduate,occupation=retired,years in bay area=10+,dual incomes=no,number in household=1,number of children=0,householder status=own,type of home=house,ethnic classification=white,language in home=english}
149	{income=$0-$40,000,sex=male,marital status=married,age=35+,education=no college graduate,occupation=retired,years in bay area=10+,dual incomes=no,number in household=1,number of children=0,householder status=own,type of home=house,ethnic classification=white,language in home=english}
150	{income=$40,000+,sex=female,marital status=married,age=35+,education=college graduate,occupation=professional/managerial,years in bay area=1-9,dual incomes=yes,number in household=2+,number of children=1+,householder status=own,type of home=house,ethnic classification=white,language in home=english}
152	{income=$0-$40,000,sex=female,marital status=single,age=14-34,education=no college graduate,occupation=clerical/service,years in bay area=10+,dual incomes=not married,number in household=1,number of children=1+,householder status=live with parents/family,type of home=apartment,ethnic classification=hispanic,language in home=english}
153	{income=$40,000+,sex=male,marital status=married,age=35+,education=no college graduate,occupation=retired,years in bay area=10+,dual incomes=no,number in household=1,number of children=0,householder status=own,type of home=house,ethnic classification=white,language in home=english}
154	{income=$40,000+,sex=female,marital status=married,age=35+,education=no college graduate,occupation=homemaker,years in bay area=10+,dual incomes=no,number in household=2+,number of children=0,householder status=own,type of home=house,ethnic classification=white,language in home=english}
155	{income=$40,000+,sex=female,marital status=married,age=35+,education=college graduate,occupation=professional/managerial,years in bay area=10+,dual incomes=yes,number in household=1,number of children=0,householder status=own,type of home=house,ethnic classification=white,language in home=english}
156	{income=$40,000+,sex=female,marital status=married,age=14-34,education=college graduate,occupation=professional/managerial,years in bay area=1-9,dual incomes=yes,number in household=1,number of children=0,householder status=own,type of home=other,ethnic classification=white,language in home=english}
157	{income=$40,000+,sex=female,marital status=married,age=35+,education=college graduate,occupation=professional/managerial,years in bay area=10+,dual incomes=yes,number in household=1,number of children=1+,householder status=own,type of home=house,ethnic classification=white,language in home=english}
158	{income=$40,000+,sex=male,marital status=married,age=35+,education=college graduate,occupation=professional/managerial,years in bay area=10+,dual incomes=yes,number in household=1,number of children=0,householder status=own,type of home=house,ethnic classification=hispanic,language in home=english}
159	{income=$0-$40,000,sex=male,marital status=single,age=14-34,education=no college graduate,occupation=student,years in bay area=1-9,dual incomes=not married,number in household=2+,number of children=1+,householder status=live with parents/family,type of home=other,ethnic classification=white,language in home=english}
160	{income=$0-$40,000,sex=female,marital status=married,age=14-34,education=no college graduate,occupation=professional/managerial,years in bay area=10+,dual incomes=yes,number in household=1,number of children=0,householder status=rent,type of home=apartment,ethnic classification=white,language in home=english}
161	{income=$40,000+,sex=male,marital status=married,age=35+,education=college graduate,occupation=professional/managerial,years in bay area=10+,dual incomes=no,number in household=1,number of children=1+,householder status=own,type of home=house,ethnic classification=white,language in home=english}
162	{income=$0-$40,000,sex=female,marital status=married,age=35+,education=no college graduate,occupation=professional/managerial,years in bay area=10+,dual incomes=no,number in household=2+,number of children=1+,householder status=own,type of home=house,ethnic classification=white,language in home=english}
165	{income=$0-$40,000,sex=female,marital status=divorced,age=35+,education=college graduate,occupation=professional/managerial,years in bay area=10+,dual incomes=not married,number in household=1,number of children=0,householder status=own,type of home=house,ethnic classification=white,language in home=english}
166	{income=$0-$40,000,sex=female,marital status=widowed,age=35+,education=no college graduate,occupation=clerical/service,years in bay area=10+,dual incomes=not married,number in household=1,number of children=0,householder status=own,type of home=house,ethnic classification=white,language in home=english}
167	{income=$0-$40,000,sex=male,marital status=single,age=14-34,education=no college graduate,occupation=student,years in bay area=1-9,dual incomes=not married,number in household=1,number of children=0,householder status=live with parents/family,type of home=condominium,ethnic classification=hispanic,language in home=english}
168	{income=$0-$40,000,sex=female,marital status=married,age=14-34,education=no college graduate,occupation=homemaker,years in bay area=10+,dual incomes=no,number in household=2+,number of children=1+,householder status=own,type of home=house,ethnic classification=white,language in home=english}
169	{income=$0-$40,000,sex=male,marital status=single,age=35+,education=no college graduate,occupation=sales,years in bay area=10+,dual incomes=not married,number in household=1,number of children=0,householder status=rent,type of home=apartment,ethnic classification=white,language in home=english}
170	{income=$40,000+,sex=female,marital status=widowed,age=35+,education=no college graduate,occupation=retired,years in bay area=1-9,dual incomes=not married,number in household=1,number of children=0,householder status=rent,type of home=apartment,ethnic classification=white,language in home=english}
