,Predicted_Survived
589,survived
590,died
591,died
592,died
593,survived
594,died
595,died
596,died
597,died
598,died
599,died
600,died
601,died
602,died
603,survived
604,survived
605,survived
606,survived
607,died
608,survived
609,died
610,died
611,died
612,survived
613,died
614,died
615,died
616,died
617,died
618,died
619,died
620,died
621,died
622,died
623,survived
624,survived
625,died
626,survived
627,died
628,died
629,died
630,died
631,died
632,died
633,survived
634,died
635,died
636,died
637,died
638,died
639,died
640,died
641,survived
642,died
643,died
644,died
645,died
646,died
647,died
648,died
649,died
650,survived
651,died
652,died
653,died
654,died
655,died
656,died
657,died
658,died
659,died
660,died
661,survived
662,died
663,died
664,died
665,died
666,died
667,survived
668,survived
669,survived
670,died
671,died
672,died
673,survived
674,survived
675,died
676,survived
677,died
678,died
679,died
680,died
681,died
682,survived
683,died
684,died
685,died
686,died
687,survived
688,died
689,survived
690,died
691,died
692,died
693,died
694,died
695,died
696,died
697,died
698,died
699,died
700,survived
701,survived
702,died
703,survived
704,died
705,died
706,survived
707,died
708,died
709,survived
710,survived
711,died
712,died
713,died
714,died
715,died
716,died
717,survived
718,died
719,died
720,died
721,died
722,died
723,survived
724,died
725,died
726,died
727,survived
728,died
729,survived
730,survived
731,died
732,died
733,survived
734,survived
735,survived
736,survived
737,died
738,died
739,died
740,died
741,died
742,died
743,survived
744,survived
745,survived
746,survived
747,survived
748,survived
749,survived
750,survived
751,survived
752,died
753,died
754,survived
755,died
756,died
757,died
758,died
759,died
760,died
761,died
762,died
763,died
764,died
765,died
766,died
767,died
768,died
769,died
770,died
771,died
772,died
773,died
774,died
775,died
776,died
777,died
778,died
779,survived
780,survived
781,survived
782,died
783,died
784,survived
785,died
786,died
787,died
788,died
789,died
790,died
791,survived
792,died
793,died
794,died
795,died
796,died
797,died
798,died
799,survived
800,survived
801,survived
802,died
803,died
804,died
805,died
806,died
807,died
808,died
809,died
810,died
811,died
812,died
813,died
814,died
815,died
816,died
817,survived
818,died
819,died
820,survived
821,survived
822,survived
823,died
824,survived
825,survived
826,survived
827,survived
828,died
829,died
830,died
831,survived
832,died
833,died
834,died
835,died
836,died
837,died
838,died
839,survived
840,survived
841,survived
842,died
843,died
844,survived
845,died
846,died
847,died
848,died
849,died
850,died
851,died
852,died
853,survived
854,died
855,died
856,died
857,died
858,died
859,died
860,survived
861,died
862,died
863,survived
864,died
865,died
866,survived
867,died
868,died
869,died
870,died
871,died
872,died
873,died
874,died
875,died
876,died
877,died
878,died
879,survived
880,died
881,survived
882,died
883,died
884,died
885,died
886,died
887,died
888,died
889,died
890,survived
891,survived
892,died
893,died
894,died
895,survived
896,died
897,died
898,died
899,died
900,died
901,survived
902,died
903,died
904,died
905,died
906,died
907,died
908,died
909,survived
910,survived
911,survived
912,survived
913,survived
914,survived
915,survived
916,survived
917,survived
918,survived
919,survived
920,died
921,died
922,died
923,died
924,survived
925,survived
926,died
927,died
928,died
929,died
930,died
931,died
932,died
933,died
934,died
935,died
936,died
937,died
938,died
939,survived
940,died
941,survived
942,survived
943,survived
944,survived
945,survived
946,died
947,died
948,survived
949,died
950,died
951,survived
952,died
953,died
954,survived
955,died
956,died
957,survived
958,survived
959,died
960,died
961,survived
962,survived
963,died
964,survived
965,died
966,died
967,died
968,died
969,died
970,survived
971,died
972,died
973,survived
974,survived
975,survived
976,survived
977,died
978,died
979,died
980,died
981,died
982,died
983,died
984,died
985,survived
986,died
987,died
988,died
989,died
990,survived
991,survived
992,died
993,survived
994,died
995,died
996,died
997,died
998,died
999,died
1000,died
1001,survived
1002,died
1003,died
1004,survived
1005,died
1006,survived
1007,survived
1008,died
1009,survived
1010,died
1011,survived
1012,survived
1013,died
1014,survived
1015,died
1016,survived
1017,died
1018,died
1019,died
1020,survived
1021,survived
1022,died
1023,died
1024,died
1025,died
1026,died
1027,died
1028,died
1029,died
1030,died
1031,survived
1032,survived
1033,died
1034,died
1035,died
1036,died
1037,died
1038,died
1039,survived
1040,died
1041,died
1042,survived
1043,died
1044,died
1045,died
1046,died
