,Predicted_Species,SetosaSpeciesProbability,VersicolorSpeciesProbability,VirginicaSpeciesProbability
74,versicolor,3.01578988453879e-92,1,1.85366229805452e-125
75,versicolor,3.02826357273164e-92,1,1.86639083600598e-125
76,versicolor,3.02264736807763e-92,1,1.9862660441049e-125
77,versicolor,3.032675441154e-92,1,1.87332353092497e-125
78,versicolor,2.70170804071681e-91,1,2.14816738345224e-72
79,versicolor,3.25812588690716e-99,1,2.03514224527911e-142
80,versicolor,3.24193355382062e-36,1,8.86829297080461e-102
81,versicolor,3.01876791871868e-92,1,1.85662788871618e-125
82,versicolor,3.02372745495908e-92,1,1.86330748070916e-125
83,versicolor,2.82111454885974e-92,1,1.57242474269897e-125
84,versicolor,2.22411989438794e-45,0.999999957280937,4.27190624023685e-08
85,versicolor,1.78888998783426e-99,1,4.80978416907729e-143
86,versicolor,1.82621144987304e-99,1,4.97846650090813e-143
87,versicolor,2.86372117506607e-92,1,9.25168358589208e-125
88,versicolor,3.03167647823904e-92,1,1.87176596940983e-125
89,versicolor,1.83567563734206e-99,1,5.04821131205185e-143
90,versicolor,2.62979677686882e-93,1,4.88706846059517e-128
91,versicolor,1.11422838585344e-92,1,1.65351074659301e-126
92,versicolor,3.0842716570014e-97,1,1.31668347214051e-137
93,versicolor,3.0073241585845e-92,1,1.83760120619437e-125
94,versicolor,2.65713835465813e-92,1,1.36357795729311e-125
95,versicolor,3.58723510704298e-97,1,1.90633449348831e-137
96,versicolor,4.13767214549268e-99,1,3.64991760469659e-142
97,versicolor,2.95385167570533e-99,1,1.60569199269239e-142
98,versicolor,2.88983826971232e-92,1,1.66649153518557e-125
99,versicolor,8.16017575605751e-41,1,1.5923997230664e-114
100,versicolor,6.00806476744828e-98,1,2.45585549127591e-139
101,virginica,6.72852564403233e-87,5.52752165833814e-41,1
102,virginica,6.6927658039934e-87,5.45474599510025e-41,1
103,virginica,4.00654620463131e-90,1.83521795624852e-46,1
104,versicolor,2.04880805739357e-47,0.999999999999369,6.30627070212559e-13
105,virginica,6.65791226827813e-87,5.38378222121209e-41,1
106,virginica,2.94220733236804e-97,1.43216621339461e-58,1
107,versicolor,1.74093902917711e-47,0.999999999999667,3.33096238995461e-13
108,virginica,2.05979584044555e-64,3.33669078834094e-25,1
109,virginica,2.94170255229824e-97,1.43342664370751e-58,1
110,virginica,6.63054803663538e-87,5.32864061399282e-41,1
111,virginica,6.63167450841395e-87,5.33095091902389e-41,1
112,virginica,2.45271424311442e-88,1.9807361309544e-43,1
113,virginica,6.45517253800339e-87,5.09023462383114e-41,1
114,virginica,6.68509999340382e-87,5.43921862707051e-41,1
115,virginica,6.67883738209791e-87,5.42622589005934e-41,1
116,virginica,6.64050655408297e-87,5.34865570211138e-41,1
117,virginica,9.31450702778005e-86,5.49109648379655e-40,1
118,virginica,6.62392868562623e-87,5.31979275962553e-41,1
119,virginica,2.93510060377473e-97,1.42614069523853e-58,1
120,virginica,2.22234816996647e-45,7.25796934073783e-06,0.999992742030659
121,virginica,6.62959153341825e-87,5.32672055798901e-41,1
122,virginica,6.71093733127681e-87,5.49162709751379e-41,1
123,virginica,2.93488007520395e-97,1.42588191079464e-58,1
124,virginica,3.6859330300441e-89,7.93406042154411e-45,1
125,virginica,6.64252029967629e-87,5.35270849177425e-41,1
126,virginica,5.25311939809286e-77,5.90318706785774e-38,1
127,virginica,2.01265112675285e-69,7.66389711196845e-12,0.999999999992336
128,virginica,6.76141332847083e-87,5.51612626157463e-41,1
129,virginica,6.63934968511514e-87,5.35398038117257e-41,1
130,virginica,2.21480157239468e-45,7.19651449250287e-06,0.999992803485508
131,virginica,2.93428967055414e-97,1.42516546240612e-58,1
132,virginica,9.21320854403001e-90,7.53723770843028e-46,1
133,virginica,6.6487112484934e-87,5.36562216840542e-41,1
134,virginica,2.52858356087868e-45,9.02882172951678e-06,0.99999097117827
135,virginica,2.25012185659927e-45,7.47627359730472e-06,0.999992523726403
136,virginica,3.53834041702605e-97,1.95735818192877e-58,1
137,virginica,6.67631164916314e-87,5.42099057134506e-41,1
138,versicolor,1.95473731864115e-47,0.99999999999107,8.93044456919291e-12
139,virginica,9.72499726468276e-81,1.02936574924694e-30,1
140,virginica,6.52557025150652e-87,5.18275415802425e-41,1
141,virginica,6.6328583739992e-87,5.33328002803296e-41,1
142,virginica,6.62150449295348e-87,5.31065616922604e-41,1
143,virginica,6.6927658039934e-87,5.45474599510025e-41,1
144,virginica,6.64036591907309e-87,5.34837273407818e-41,1
145,virginica,6.63760642915414e-87,5.34282225263814e-41,1
146,virginica,6.62495065286992e-87,5.31745248088935e-41,1
147,virginica,1.50865832035955e-93,2.83476588643361e-52,1
148,virginica,6.62395711534761e-87,5.32081053068538e-41,1
149,virginica,6.67415399525869e-87,5.41661508754714e-41,1
150,virginica,8.86513622346121e-53,2.52101618157329e-06,0.999997478983818
