Class,Survived,Sex,Age,Siblings,Children
1st,survived,female,23,3,2
1st,died,male,19,3,2
1st,died,male,64,1,4
1st,survived,female,60,1,4
1st,survived,female,30,0,0
1st,survived,male,50,2,0
1st,survived,male,43,1,0
1st,survived,female,22,0,2
1st,survived,male,60,1,1
1st,survived,female,48,1,1
1st,died,male,37,1,0
1st,survived,female,35,1,0
1st,died,male,47,0,0
1st,survived,female,35,0,0
1st,survived,female,22,0,1
1st,survived,female,45,0,1
1st,died,male,24,0,0
1st,survived,male,49,1,0
1st,died,male,71,0,0
1st,survived,male,53,0,0
1st,survived,female,19,0,0
1st,died,male,38,0,1
1st,survived,female,58,0,1
1st,survived,male,23,0,1
1st,survived,female,45,0,1
1st,died,male,46,0,0
1st,survived,male,25,1,0
1st,survived,female,25,1,0
1st,survived,male,48,1,0
1st,survived,female,49,1,0
1st,died,male,45,1,0
1st,survived,female,35,1,0
1st,died,male,40,0,0
1st,survived,male,27,0,0
1st,survived,female,24,0,0
1st,died,male,55,1,1
1st,survived,female,52,1,1
1st,died,male,42,0,0
1st,died,male,55,0,0
1st,survived,female,16,0,1
1st,survived,female,44,0,1
1st,survived,female,51,1,0
1st,died,male,42,1,0
1st,survived,female,35,1,0
1st,survived,male,35,0,0
1st,survived,male,38,1,0
1st,survived,female,35,1,0
1st,survived,female,38,0,0
1st,died,female,50,0,0
1st,survived,male,49,0,0
1st,died,male,46,0,0
1st,died,male,50,0,0
1st,died,male,32.5,0,0
1st,died,male,58,0,0
1st,died,male,41,1,0
1st,survived,male,42,1,0
1st,survived,female,45,1,0
1st,survived,female,39,0,0
1st,survived,female,49,0,0
1st,survived,female,30,0,0
1st,survived,male,35,0,0
1st,died,male,42,0,0
1st,survived,female,55,0,0
1st,survived,female,16,0,1
1st,survived,female,51,0,1
1st,died,male,29,0,0
1st,survived,female,21,0,0
1st,died,male,30,0,0
1st,survived,female,58,0,0
1st,survived,female,15,0,1
1st,died,male,30,0,0
1st,survived,female,16,0,0
1st,died,male,19,1,0
1st,survived,female,18,1,0
1st,survived,female,24,0,0
1st,died,male,46,0,0
1st,died,male,54,0,0
1st,survived,male,36,0,0
1st,died,male,28,1,0
1st,died,male,65,0,0
1st,died,male,44,2,0
1st,survived,female,33,1,0
1st,survived,female,37,1,0
1st,survived,male,30,1,0
1st,died,male,55,0,0
1st,died,male,47,0,0
1st,died,male,37,0,1
1st,survived,female,31,1,0
1st,survived,female,23,1,0
1st,died,male,58,0,2
1st,survived,female,19,0,2
1st,died,male,64,0,0
1st,survived,female,39,0,0
1st,survived,female,22,0,1
1st,died,male,65,0,1
1st,died,male,28.5,0,0
1st,died,male,45.5,0,0
1st,died,male,23,0,0
1st,died,male,29,1,0
1st,survived,female,22,1,0
1st,died,male,18,1,0
1st,survived,female,17,1,0
1st,survived,female,30,0,0
1st,survived,male,52,0,0
1st,died,male,47,0,0
1st,survived,female,56,0,1
1st,died,male,38,0,0
1st,died,male,22,0,0
1st,survived,female,43,0,1
1st,died,male,31,0,0
1st,survived,male,45,0,0
1st,survived,female,33,0,0
1st,died,male,46,0,0
1st,died,male,36,0,0
1st,survived,female,33,0,0
1st,died,male,55,1,0
1st,survived,female,54,1,0
1st,died,male,33,0,0
1st,survived,male,13,2,2
1st,survived,female,18,2,2
1st,survived,female,21,2,2
1st,died,male,61,1,3
1st,survived,female,48,1,3
1st,survived,female,24,0,0
1st,survived,female,35,1,0
1st,survived,female,30,0,0
1st,survived,male,34,0,0
1st,survived,female,40,0,0
1st,survived,male,35,0,0
1st,died,male,50,1,0
1st,survived,female,39,1,0
1st,survived,male,56,0,0
1st,survived,male,28,0,0
1st,died,male,56,0,0
1st,died,male,56,0,0
1st,died,male,24,1,0
1st,survived,female,18,1,0
1st,survived,male,24,1,0
1st,survived,female,23,1,0
1st,survived,male,6,0,2
1st,survived,male,45,1,1
1st,survived,female,40,1,1
1st,died,male,57,1,0
1st,survived,male,32,0,0
1st,died,male,62,0,0
1st,survived,male,54,1,0
1st,survived,female,43,1,0
1st,survived,female,52,1,0
1st,survived,female,62,0,0
1st,died,male,67,1,0
1st,died,female,63,1,0
1st,died,male,61,0,0
1st,survived,female,48,0,0
1st,survived,female,18,0,2
1st,died,male,52,1,1
1st,survived,female,39,1,1
1st,survived,male,48,1,0
1st,died,male,49,1,1
1st,survived,male,17,0,2
1st,survived,female,39,1,1
1st,survived,male,31,0,0
1st,died,male,40,0,0
1st,died,male,61,0,0
1st,died,male,47,0,0
1st,survived,female,35,0,0
1st,died,male,64,1,0
1st,survived,female,60,1,0
1st,died,male,60,0,0
1st,died,male,54,0,1
1st,died,male,21,0,1
1st,survived,female,55,0,0
1st,survived,female,31,0,2
1st,died,male,57,1,1
1st,survived,female,45,1,1
1st,died,male,50,1,1
1st,died,male,27,0,2
1st,survived,female,50,1,1
1st,survived,female,21,0,0
1st,died,male,51,0,1
1st,survived,male,21,0,1
1st,survived,female,31,0,0
1st,died,male,62,0,0
1st,survived,female,36,0,0
2nd,died,male,30,1,0
2nd,survived,female,28,1,0
2nd,died,male,30,0,0
2nd,died,male,18,0,0
2nd,died,male,25,0,0
2nd,died,male,34,1,0
2nd,survived,female,36,1,0
2nd,died,male,57,0,0
2nd,died,male,18,0,0
2nd,died,male,23,0,0
2nd,survived,female,36,0,0
2nd,died,male,28,0,0
2nd,died,male,51,0,0
2nd,survived,male,32,1,0
2nd,survived,female,19,1,0
2nd,died,male,28,0,0
2nd,survived,male,1,2,1
2nd,survived,female,4,2,1
2nd,survived,female,12,2,1
2nd,survived,female,36,0,3
2nd,survived,male,34,0,0
2nd,survived,female,19,0,0
2nd,died,male,23,0,0
2nd,died,male,26,0,0
2nd,died,male,42,0,0
2nd,died,male,27,0,0
2nd,survived,female,24,0,0
2nd,survived,female,15,0,2
2nd,died,male,60,1,1
2nd,survived,female,40,1,1
2nd,survived,female,20,1,0
2nd,died,male,25,1,0
2nd,survived,female,36,0,0
2nd,died,male,25,0,0
2nd,died,male,42,0,0
2nd,survived,female,42,0,0
2nd,survived,male,0.833299994,0,2
2nd,survived,male,26,1,1
2nd,survived,female,22,1,1
2nd,survived,female,35,0,0
2nd,died,male,19,0,0
2nd,died,female,44,1,0
2nd,died,male,54,1,0
2nd,died,male,52,0,0
2nd,died,male,37,1,0
2nd,died,female,29,1,0
2nd,survived,female,25,1,1
2nd,survived,female,45,0,2
2nd,died,male,29,1,0
2nd,survived,female,28,1,0
2nd,died,male,29,0,0
2nd,died,male,28,0,0
2nd,survived,male,24,0,0
2nd,survived,female,8,0,2
2nd,died,male,31,1,1
2nd,survived,female,31,1,1
2nd,survived,female,22,0,0
2nd,died,female,30,0,0
2nd,died,male,21,0,0
2nd,survived,male,8,1,1
2nd,died,male,18,0,0
2nd,survived,female,48,0,2
2nd,survived,female,28,0,0
2nd,died,male,32,0,0
2nd,died,male,17,0,0
2nd,died,male,29,1,0
2nd,survived,female,24,1,0
2nd,died,male,25,0,0
2nd,died,male,18,0,0
2nd,survived,female,18,0,1
2nd,survived,female,34,0,1
2nd,died,male,54,0,0
2nd,survived,male,8,0,2
2nd,died,male,42,1,1
2nd,survived,female,34,1,1
2nd,survived,female,27,1,0
2nd,survived,female,30,1,0
2nd,died,male,23,0,0
2nd,died,male,21,0,0
2nd,died,male,18,0,0
2nd,died,male,40,1,0
2nd,survived,female,29,1,0
2nd,died,male,18,0,0
2nd,died,male,36,0,0
2nd,died,female,38,0,0
2nd,died,male,35,0,0
2nd,died,male,38,1,0
2nd,died,male,34,1,0
2nd,survived,female,34,0,0
2nd,died,male,16,0,0
2nd,died,male,26,0,0
2nd,died,male,47,0,0
2nd,died,male,21,1,0
2nd,died,male,21,1,0
2nd,died,male,24,0,0
2nd,died,male,24,0,0
2nd,died,male,34,0,0
2nd,died,male,30,0,0
2nd,died,male,52,0,0
2nd,died,male,30,0,0
2nd,survived,male,0.666700006,1,1
2nd,survived,female,24,0,2
2nd,died,male,44,0,0
2nd,survived,female,6,0,1
2nd,died,male,28,0,1
2nd,survived,male,62,0,0
2nd,died,male,30,0,0
2nd,survived,female,7,0,2
2nd,died,male,43,1,1
2nd,survived,female,45,1,1
2nd,survived,female,24,1,2
2nd,survived,female,24,1,2
2nd,died,male,49,1,2
2nd,survived,female,48,1,2
2nd,survived,female,55,0,0
2nd,died,male,24,2,0
2nd,died,male,32,2,0
2nd,died,male,21,2,0
2nd,died,female,18,1,1
2nd,survived,female,20,2,1
2nd,died,male,23,2,1
2nd,died,male,36,0,0
2nd,survived,female,54,1,3
2nd,died,male,50,0,0
2nd,died,male,44,1,0
2nd,survived,female,29,1,0
2nd,died,male,21,0,0
2nd,survived,male,42,0,0
2nd,died,male,63,1,0
2nd,died,female,60,1,0
2nd,died,male,33,0,0
2nd,survived,female,17,0,0
2nd,died,male,42,1,0
2nd,survived,female,24,2,1
2nd,died,male,47,0,0
2nd,died,male,24,2,0
2nd,died,male,22,2,0
2nd,died,male,32,0,0
2nd,survived,female,23,0,0
2nd,died,male,34,1,0
2nd,survived,female,24,1,0
2nd,died,female,22,0,0
2nd,died,male,35,0,0
2nd,survived,female,45,0,0
2nd,died,male,57,0,0
2nd,died,male,31,0,0
2nd,died,female,26,1,1
2nd,died,male,30,1,1
2nd,survived,female,1,1,2
2nd,survived,female,3,1,2
2nd,died,male,25,1,2
2nd,survived,female,22,1,2
2nd,survived,female,17,0,0
2nd,survived,female,34,0,0
2nd,died,male,36,0,0
2nd,died,male,24,0,0
2nd,died,male,61,0,0
2nd,died,male,50,1,0
2nd,survived,female,42,1,0
2nd,died,female,57,0,0
2nd,survived,male,1,0,2
2nd,died,male,31,1,1
2nd,survived,female,24,1,1
2nd,died,male,30,0,0
2nd,died,male,40,0,0
2nd,died,male,32,0,0
2nd,died,male,30,0,0
2nd,died,male,46,0,0
2nd,survived,female,13,0,1
2nd,survived,female,41,0,1
2nd,survived,male,19,0,0
2nd,died,male,39,0,0
2nd,died,male,48,0,0
2nd,died,male,70,0,0
2nd,died,male,27,0,0
2nd,died,male,54,0,0
2nd,died,male,39,0,0
2nd,died,male,16,0,0
2nd,died,male,62,0,0
2nd,died,male,32.5,1,0
2nd,survived,female,14,1,0
2nd,survived,male,2,1,1
2nd,survived,male,3,1,1
2nd,died,male,36.5,0,2
2nd,died,male,26,0,0
2nd,died,male,19,1,1
2nd,died,male,28,0,0
2nd,survived,male,20,0,0
2nd,survived,female,29,0,0
2nd,died,male,39,0,0
2nd,survived,male,22,0,0
2nd,died,male,23,0,0
2nd,survived,male,29,0,0
2nd,died,male,28,0,0
2nd,survived,female,50,0,1
2nd,died,male,19,0,0
2nd,died,male,41,0,0
2nd,survived,female,21,0,1
2nd,survived,female,19,0,0
2nd,died,male,43,0,1
2nd,survived,female,32,0,0
2nd,died,male,34,0,0
2nd,survived,male,30,0,0
2nd,died,male,27,0,0
2nd,survived,female,2,1,1
2nd,survived,female,8,1,1
2nd,survived,female,33,0,2
2nd,died,male,36,0,0
2nd,died,male,34,1,0
2nd,survived,female,30,3,0
2nd,survived,female,28,0,0
2nd,died,male,23,0,0
2nd,survived,male,0.833299994,1,1
2nd,survived,male,3,1,1
2nd,survived,female,24,2,3
2nd,survived,female,50,0,0
2nd,died,male,19,0,0
2nd,survived,female,21,0,0
2nd,died,male,26,0,0
2nd,died,male,25,0,0
2nd,died,male,27,0,0
2nd,survived,female,25,0,1
2nd,survived,female,18,0,2
2nd,survived,female,20,0,0
2nd,survived,female,30,0,0
2nd,died,male,59,0,0
2nd,survived,female,30,0,0
2nd,died,male,35,0,0
2nd,survived,female,40,0,0
2nd,died,male,25,0,0
2nd,died,male,41,0,0
2nd,died,male,25,0,0
2nd,died,male,18.5,0,0
2nd,died,male,14,0,0
2nd,survived,female,50,0,0
2nd,died,male,23,0,0
2nd,survived,female,28,0,0
2nd,survived,female,27,0,0
2nd,died,male,29,1,0
2nd,died,female,27,1,0
2nd,died,male,40,0,0
2nd,survived,female,31,0,0
2nd,died,male,30,1,0
2nd,died,male,23,1,0
2nd,survived,female,31,0,0
2nd,survived,female,12,0,0
2nd,survived,female,40,0,0
2nd,survived,female,32.5,0,0
2nd,died,male,27,1,0
2nd,survived,female,29,1,0
2nd,survived,male,2,1,1
2nd,survived,female,4,1,1
2nd,survived,female,29,0,2
2nd,survived,female,0.916700006,1,2
2nd,survived,female,5,1,2
2nd,died,male,36,1,2
2nd,survived,female,33,1,2
2nd,died,male,66,0,0
2nd,survived,male,31,0,0
2nd,survived,female,26,0,0
2nd,died,female,24,0,0
3rd,died,male,42,0,0
3rd,died,male,13,0,2
3rd,died,male,16,1,1
3rd,survived,female,35,1,1
3rd,survived,female,16,0,0
3rd,survived,male,25,0,0
3rd,survived,male,20,0,0
3rd,survived,female,18,0,0
3rd,died,male,30,0,0
3rd,died,male,26,0,0
3rd,died,female,40,1,0
3rd,survived,male,0.833299994,0,1
3rd,survived,female,18,0,1
3rd,survived,male,26,0,0
3rd,died,male,26,0,0
3rd,died,male,20,0,0
3rd,died,male,24,0,0
3rd,died,male,25,0,0
3rd,died,male,35,0,0
3rd,died,male,18,0,0
3rd,died,male,32,0,0
3rd,survived,female,19,1,0
3rd,died,male,4,4,2
3rd,died,female,6,4,2
3rd,died,female,2,4,2
3rd,survived,female,17,4,2
3rd,died,female,38,4,2
3rd,died,female,9,4,2
3rd,died,female,11,4,2
3rd,died,male,39,1,5
3rd,survived,male,27,0,0
3rd,died,male,26,0,0
3rd,died,female,39,1,5
3rd,died,male,20,0,0
3rd,died,male,26,0,0
3rd,died,male,25,1,0
3rd,died,female,18,1,0
3rd,died,male,24,0,0
3rd,died,male,35,0,0
3rd,died,male,5,4,2
3rd,died,male,9,4,2
3rd,survived,male,3,4,2
3rd,died,male,13,4,2
3rd,survived,female,5,4,2
3rd,died,male,40,1,5
3rd,survived,male,23,0,0
3rd,survived,female,38,1,5
3rd,survived,female,45,0,0
3rd,died,male,21,0,0
3rd,died,male,23,0,0
3rd,died,female,17,0,0
3rd,died,male,30,0,0
3rd,died,male,23,0,0
3rd,survived,female,13,0,0
3rd,died,male,20,0,0
3rd,died,male,32,1,0
3rd,survived,female,33,3,0
3rd,survived,female,0.75,2,1
3rd,survived,female,0.75,2,1
3rd,survived,female,5,2,1
3rd,survived,female,24,0,3
3rd,survived,female,18,0,0
3rd,died,male,40,0,0
3rd,died,male,26,0,0
3rd,survived,male,20,0,0
3rd,died,female,18,0,1
3rd,died,female,45,0,1
3rd,died,female,27,0,0
3rd,died,male,22,0,0
3rd,died,male,19,0,0
3rd,died,male,26,0,0
3rd,died,male,22,0,0
3rd,died,male,20,0,0
3rd,survived,male,32,0,0
3rd,died,male,21,0,0
3rd,died,male,18,0,0
3rd,died,male,26,0,0
3rd,died,male,6,1,1
3rd,died,female,9,1,1
3rd,died,male,40,1,1
3rd,died,female,32,1,1
3rd,died,male,21,0,0
3rd,survived,female,22,0,0
3rd,died,female,20,0,0
3rd,died,male,29,1,0
3rd,died,male,22,1,0
3rd,died,male,22,0,0
3rd,died,male,35,0,0
3rd,died,female,18.5,0,0
3rd,survived,male,21,0,0
3rd,died,male,19,0,0
3rd,died,female,18,0,0
3rd,died,female,21,0,0
3rd,died,female,30,0,0
3rd,died,male,18,0,0
3rd,died,male,38,0,0
3rd,died,male,17,0,0
3rd,died,male,17,0,0
3rd,died,female,21,0,0
3rd,died,male,21,0,0
3rd,died,male,21,0,0
3rd,died,male,28,0,0
3rd,died,male,24,0,0
3rd,survived,female,16,0,0
3rd,died,female,37,0,0
3rd,died,male,28,0,0
3rd,died,male,24,0,0
3rd,died,male,21,0,0
3rd,survived,male,32,0,0
3rd,died,male,29,0,0
3rd,died,male,26,1,0
3rd,died,male,18,1,0
3rd,died,male,20,0,0
3rd,survived,male,18,0,0
3rd,died,male,24,0,0
3rd,died,male,36,0,0
3rd,died,male,24,0,0
3rd,died,male,31,0,0
3rd,died,male,31,0,0
3rd,survived,female,22,0,0
3rd,died,female,30,0,0
3rd,died,male,70.5,0,0
3rd,died,male,43,0,0
3rd,died,male,35,0,0
3rd,died,male,27,0,0
3rd,died,male,19,0,0
3rd,died,male,30,0,0
3rd,survived,male,9,1,1
3rd,survived,male,3,1,1
3rd,survived,female,36,0,2
3rd,died,male,59,0,0
3rd,died,male,19,0,0
3rd,survived,female,17,0,1
3rd,died,male,44,0,1
3rd,died,male,17,0,0
3rd,died,male,22.5,0,0
3rd,survived,male,45,0,0
3rd,died,female,22,0,0
3rd,died,male,19,0,0
3rd,survived,female,30,0,0
3rd,survived,male,29,0,0
3rd,died,male,0.333299994,0,2
3rd,died,male,34,1,1
3rd,died,female,28,1,1
3rd,died,male,27,0,0
3rd,died,male,25,0,0
3rd,died,male,24,2,0
3rd,died,male,22,0,0
3rd,died,male,21,2,0
3rd,died,male,17,2,0
3rd,survived,male,36.5,1,0
3rd,survived,female,36,1,0
3rd,survived,male,30,0,0
3rd,died,male,16,0,0
3rd,survived,male,1,1,2
3rd,survived,female,0.166700006,1,2
3rd,died,male,26,1,2
3rd,survived,female,33,1,2
3rd,died,male,25,0,0
3rd,died,male,22,0,0
3rd,died,male,36,0,0
3rd,survived,female,19,0,0
3rd,died,male,17,0,0
3rd,died,male,42,0,0
3rd,died,male,43,0,0
3rd,died,male,32,0,0
3rd,survived,male,19,0,0
3rd,survived,female,30,0,0
3rd,died,female,24,0,0
3rd,survived,female,23,0,0
3rd,died,male,33,0,0
3rd,died,male,65,0,0
3rd,survived,male,24,0,0
3rd,died,male,23,1,0
3rd,survived,female,22,1,0
3rd,died,male,18,0,0
3rd,died,male,16,0,0
3rd,died,male,45,0,0
3rd,died,male,39,0,2
3rd,died,male,17,1,1
3rd,died,male,15,1,1
3rd,died,male,47,0,0
3rd,survived,female,5,0,0
3rd,died,male,40.5,0,0
3rd,died,male,40.5,0,0
3rd,died,male,18,0,0
3rd,died,male,26,0,0
3rd,died,female,21,2,2
3rd,died,female,9,2,2
3rd,died,male,18,2,2
3rd,died,male,16,1,3
3rd,died,female,48,1,3
3rd,died,male,25,0,0
3rd,died,male,22,0,0
3rd,survived,female,16,0,0
3rd,survived,male,9,0,2
3rd,died,male,33,1,1
3rd,died,male,41,0,0
3rd,survived,female,31,1,1
3rd,died,male,38,0,0
3rd,died,male,9,5,2
3rd,died,male,1,5,2
3rd,died,male,11,5,2
3rd,died,female,10,5,2
3rd,died,female,16,5,2
3rd,died,male,14,5,2
3rd,died,male,40,1,6
3rd,died,female,43,1,6
3rd,died,male,51,0,0
3rd,died,male,32,0,0
3rd,died,male,20,0,0
3rd,died,male,37,2,0
3rd,died,male,28,2,0
3rd,died,male,19,0,0
3rd,died,female,24,0,0
3rd,died,female,17,0,0
3rd,died,male,28,1,0
3rd,survived,female,24,1,0
3rd,died,male,20,0,0
3rd,died,male,23.5,0,0
3rd,died,male,41,2,0
3rd,died,male,26,1,0
3rd,died,male,21,0,0
3rd,survived,female,45,1,0
3rd,died,male,25,0,0
3rd,died,male,11,0,0
3rd,survived,male,27,0,0
3rd,died,female,18,0,0
3rd,survived,female,26,0,0
3rd,died,female,23,0,0
3rd,survived,female,22,0,0
3rd,died,male,28,0,0
3rd,died,female,28,0,0
3rd,survived,female,2,0,1
3rd,survived,female,22,1,1
3rd,died,male,43,0,0
3rd,died,male,28,0,0
3rd,survived,female,27,0,0
3rd,died,male,42,0,0
3rd,died,male,30,0,0
3rd,died,female,27,1,0
3rd,died,female,25,1,0
3rd,survived,male,29,0,0
3rd,survived,male,21,0,0
3rd,died,male,20,0,0
3rd,died,male,48,0,0
3rd,died,male,17,1,0
3rd,died,male,34,0,0
3rd,survived,male,26,0,0
3rd,died,male,22,0,0
3rd,died,male,33,0,0
3rd,died,male,31,0,0
3rd,died,male,29,0,0
3rd,survived,male,4,1,1
3rd,survived,female,1,1,1
3rd,died,male,49,0,0
3rd,died,male,33,0,0
3rd,died,male,19,0,0
3rd,survived,female,27,0,2
3rd,died,male,23,0,0
3rd,survived,male,32,0,0
3rd,died,male,27,0,0
3rd,died,female,20,1,0
3rd,died,female,21,1,0
3rd,survived,male,32,0,0
3rd,died,male,17,0,0
3rd,died,male,21,0,0
3rd,died,male,30,0,0
3rd,survived,male,21,0,0
3rd,died,male,33,0,0
3rd,died,male,22,0,0
3rd,survived,female,4,0,1
3rd,survived,male,39,0,1
3rd,died,male,18.5,0,0
3rd,died,male,34.5,0,0
3rd,died,male,44,0,0
3rd,died,female,22,2,0
3rd,died,male,26,2,0
3rd,survived,female,4,0,2
3rd,survived,male,29,3,1
3rd,survived,female,26,1,1
3rd,died,female,1,1,1
3rd,died,male,18,1,1
3rd,died,female,36,0,2
3rd,survived,male,25,0,0
3rd,died,female,37,0,0
3rd,survived,female,22,0,0
3rd,survived,male,26,0,0
3rd,died,male,29,0,0
3rd,died,male,29,0,0
3rd,died,male,22,0,0
3rd,survived,male,22,0,0
3rd,died,male,32,0,0
3rd,died,male,34.5,0,0
3rd,died,male,36,0,0
3rd,died,male,39,0,0
3rd,died,male,24,0,0
3rd,died,female,25,0,0
3rd,died,female,45,0,0
3rd,died,male,36,1,0
3rd,died,female,30,1,0
3rd,survived,male,20,1,0
3rd,died,male,28,0,0
3rd,died,male,30,1,0
3rd,died,female,26,1,0
3rd,died,male,20.5,0,0
3rd,survived,male,27,0,0
3rd,died,male,51,0,0
3rd,survived,female,23,0,0
3rd,survived,male,32,0,0
3rd,survived,male,24,0,0
3rd,died,male,22,0,0
3rd,died,male,29,0,0
3rd,died,female,30.5,0,0
3rd,died,male,35,0,0
3rd,died,male,33,0,0
3rd,survived,female,15,0,0
3rd,died,female,35,0,0
3rd,died,male,24,1,0
3rd,died,female,19,1,0
3rd,died,male,55.5,0,0
3rd,survived,male,21,0,0
3rd,died,male,24,0,0
3rd,died,male,21,0,0
3rd,died,male,28,0,0
3rd,died,male,25,0,0
3rd,survived,male,6,0,1
3rd,survived,female,27,0,1
3rd,died,male,34,0,0
3rd,survived,female,24,0,0
3rd,died,male,18,0,0
3rd,died,male,22,0,0
3rd,survived,female,15,0,0
3rd,survived,female,1,0,2
3rd,survived,male,20,1,1
3rd,survived,female,19,1,1
3rd,died,male,33,0,0
3rd,survived,male,12,1,0
3rd,survived,female,14,1,0
3rd,died,female,29,0,0
3rd,died,male,28,0,0
3rd,survived,female,18,0,0
3rd,survived,female,26,0,0
3rd,died,male,21,0,0
3rd,died,male,41,0,0
3rd,survived,male,39,0,0
3rd,died,male,21,0,0
3rd,died,male,28.5,0,0
3rd,survived,female,22,0,0
3rd,died,male,61,0,0
3rd,died,male,23,0,0
3rd,survived,female,22,0,0
3rd,survived,male,9,0,1
3rd,died,male,28,0,0
3rd,died,male,42,0,1
3rd,died,female,31,0,0
3rd,died,male,28,0,0
3rd,survived,male,32,0,0
3rd,died,male,20,0,0
3rd,died,female,23,0,0
3rd,died,female,20,0,0
3rd,died,male,20,0,0
3rd,died,male,16,0,0
3rd,survived,female,31,0,0
3rd,died,male,2,3,1
3rd,died,male,6,3,1
3rd,died,female,3,3,1
3rd,died,female,8,3,1
3rd,died,female,29,0,4
3rd,died,male,1,4,1
3rd,died,male,7,4,1
3rd,died,male,2,4,1
3rd,died,male,16,4,1
3rd,died,male,14,4,1
3rd,died,female,41,0,5
3rd,died,male,21,0,0
3rd,died,male,19,0,0
3rd,died,male,32,0,0
3rd,died,male,0.75,1,1
3rd,died,female,3,1,1
3rd,died,female,26,0,2
3rd,died,male,21,0,0
3rd,died,male,25,0,0
3rd,died,male,22,0,0
3rd,survived,male,25,1,0
3rd,died,male,24,0,0
3rd,died,female,28,0,0
3rd,died,male,19,0,0
3rd,died,male,25,1,0
3rd,died,female,18,0,0
3rd,survived,male,32,0,0
3rd,died,male,17,0,0
3rd,died,male,24,0,0
3rd,died,male,38,0,0
3rd,died,male,21,0,0
3rd,died,male,10,4,1
3rd,died,male,4,4,1
3rd,died,male,7,4,1
3rd,died,male,2,4,1
3rd,died,male,8,4,1
3rd,died,female,39,0,5
3rd,died,female,22,0,0
3rd,died,male,35,0,0
3rd,died,male,50,1,0
3rd,died,female,47,1,0
3rd,died,female,2,1,1
3rd,died,male,18,1,1
3rd,died,female,41,0,2
3rd,died,male,50,0,0
3rd,died,male,16,0,0
3rd,died,male,25,0,0
3rd,died,male,38.5,0,0
3rd,died,male,14.5,8,2
3rd,died,male,24,0,0
3rd,survived,female,21,0,0
3rd,died,male,39,0,0
3rd,survived,female,1,1,1
3rd,survived,female,24,0,2
3rd,survived,female,4,1,1
3rd,survived,male,25,0,0
3rd,died,male,20,0,0
3rd,died,male,24.5,0,0
3rd,survived,male,29,0,0
3rd,died,male,22,0,0
3rd,died,male,40,0,0
3rd,died,male,21,0,0
3rd,survived,female,18,0,0
3rd,died,male,4,3,2
3rd,died,male,10,3,2
3rd,died,female,9,3,2
3rd,died,female,2,3,2
3rd,died,male,40,1,4
3rd,died,female,45,1,4
3rd,died,male,19,0,0
3rd,died,male,30,0,0
3rd,died,male,32,0,0
