Transaction_ID	Time_Stamp	Items
session_4ac8	25-01-2003 14:18	{doc_364,doc_71}
session_4ad3	26-01-2003 11:22	{doc_9b}
session_wu4397a	26-01-2003 14:11	{doc_83}
session_wu4397c	26-01-2003 14:30	{doc_83}
session_wu43a01	27-01-2003 08:49	{doc_60}
session_wu43a36	27-01-2003 11:48	{doc_364}
session_4afa	27-01-2003 13:33	{doc_320,doc_368}
session_4b1f	28-01-2003 14:09	{doc_1a2}
session_4b26	28-01-2003 15:14	{doc_40a}
session_4b29	28-01-2003 16:49	{doc_1cf}
session_4b2b	28-01-2003 18:01	{doc_60}
session_4b35	29-01-2003 07:29	{doc_11d}
session_4b47	29-01-2003 09:49	{doc_19f,doc_9b}
session_4b4c	29-01-2003 11:04	{doc_2cd}
session_4b4e	29-01-2003 11:45	{doc_1a2,doc_2cd}
session_4b56	29-01-2003 15:04	{doc_256}
session_wu43c7b	29-01-2003 20:42	{doc_19f}
session_4b63	29-01-2003 23:30	{doc_173}
session_wu43d5e	31-01-2003 01:48	{doc_3f3}
session_4b9f	31-01-2003 15:03	{doc_364,doc_412}
session_4bac	01-02-2003 10:33	{doc_11d}
session_4bec	04-02-2003 06:09	{doc_1bb}
session_4bfa	04-02-2003 10:37	{doc_1a1}
session_4c01	04-02-2003 11:36	{doc_173,doc_367}
session_4c39	05-02-2003 19:47	{doc_18e,doc_196,doc_1da,doc_1e8,doc_3fa}
session_4c3e	06-02-2003 07:12	{doc_1e8}
session_4c54	06-02-2003 13:37	{doc_11d}
session_4c58	06-02-2003 15:35	{doc_1b1,doc_1cd}
session_4c62	07-02-2003 05:09	{doc_1f1,doc_e4}
session_wu44228	07-02-2003 11:11	{doc_dc}
session_4c6e	07-02-2003 15:21	{doc_3fe}
session_4c7d	08-02-2003 10:14	{doc_2cd}
session_4c80	08-02-2003 11:22	{doc_26f}
session_4c89	09-02-2003 12:33	{doc_26f}
session_4c8f	09-02-2003 20:38	{doc_158}
session_4c90	09-02-2003 22:08	{doc_16e}
session_4c97	10-02-2003 08:10	{doc_83}
session_4c9a	10-02-2003 09:24	{doc_11d}
session_4c9b	10-02-2003 11:04	{doc_2cd}
session_4ca3	10-02-2003 13:58	{doc_3c4,doc_3d6}
session_4ca5	10-02-2003 15:10	{doc_83}
session_4cc9	11-02-2003 13:31	{doc_255}
session_wu444ab	11-02-2003 16:44	{doc_41b}
session_4cd5	12-02-2003 00:27	{doc_256}
session_4ce3	12-02-2003 10:12	{doc_1d0}
session_wu4450a	12-02-2003 10:52	{doc_3d6,doc_a2}
session_4d0d	13-02-2003 12:53	{doc_3f3}
session_4d13	13-02-2003 14:49	{doc_3fc}
session_4d11	13-02-2003 14:50	{doc_3ec}
session_4d14	13-02-2003 14:51	{doc_19f}
session_4d2c	14-02-2003 06:09	{doc_3c4}
session_4d36	14-02-2003 08:31	{doc_71}
session_4d4f	15-02-2003 09:52	{doc_26f}
session_4d52	15-02-2003 13:32	{doc_23b,doc_268,doc_26e}
session_wu446f8	15-02-2003 23:32	{doc_3ec}
session_4d64	16-02-2003 11:12	{doc_1d2}
session_4d67	16-02-2003 13:41	{doc_2cd}
session_4d72	16-02-2003 23:33	{doc_18f}
session_4d80	17-02-2003 09:53	{doc_162}
session_4d81	17-02-2003 10:07	{doc_2cd}
session_4d88	17-02-2003 11:54	{doc_24e,doc_2cd,doc_364,doc_3ec,doc_60,doc_83}
session_4d89	17-02-2003 12:04	{doc_1a2,doc_60}
session_4d8c	17-02-2003 12:44	{doc_11d,doc_19f,doc_24e,doc_26b,doc_424,doc_6f,doc_9b,doc_ec}
session_4d8f	17-02-2003 13:49	{doc_23c,doc_368}
session_4d9a	18-02-2003 06:57	{doc_16e}
session_4d9b	18-02-2003 07:43	{doc_162}
session_4d9d	18-02-2003 08:52	{doc_171}
session_4daa	18-02-2003 11:29	{doc_367}
session_4db5	18-02-2003 18:45	{doc_266}
session_4dd0	19-02-2003 15:11	{doc_155,doc_255,doc_266,doc_268,doc_275,doc_3fc}
session_4dde	19-02-2003 22:05	{doc_26f}
session_4de1	20-02-2003 05:46	{doc_2cd}
session_4de5	20-02-2003 07:52	{doc_11d}
session_4dec	20-02-2003 08:15	{doc_19d}
session_4df5	20-02-2003 10:40	{doc_24e}
session_4dfb	20-02-2003 13:54	{doc_1d8}
session_4e23	21-02-2003 19:36	{doc_9b}
session_4e35	23-02-2003 09:10	{doc_364,doc_3ec,doc_424}
session_4e3e	23-02-2003 22:22	{doc_266}
session_4e42	24-02-2003 08:55	{doc_ec}
session_4e53	24-02-2003 14:17	{doc_24e}
session_4e5b	24-02-2003 16:38	{doc_2cd}
session_4e60	24-02-2003 18:46	{doc_1e8}
session_4e6f	25-02-2003 10:16	{doc_1a2,doc_364,doc_71}
session_4e72	25-02-2003 10:45	{doc_83}
session_4e89	25-02-2003 19:02	{doc_11d}
session_4e91	26-02-2003 06:12	{doc_2cd}
session_4e93	26-02-2003 07:25	{doc_254,doc_26e,doc_3fe}
session_4ea2	26-02-2003 11:43	{doc_3c4}
session_4ead	26-02-2003 19:11	{doc_ec}
session_4eb2	27-02-2003 06:04	{doc_24e}
session_4ebd	27-02-2003 09:25	{doc_1c9}
session_wu44e68	27-02-2003 11:53	{doc_1ab,doc_22c}
session_4ecb	27-02-2003 12:03	{doc_2ab}
session_4ed6	27-02-2003 16:31	{doc_190}
session_4ede	27-02-2003 17:45	{doc_3fb}
session_4ee7	28-02-2003 06:50	{doc_3ec,doc_424}
session_4ef7	28-02-2003 14:48	{doc_239}
session_4f13	02-03-2003 17:32	{doc_18f}
session_wu45176	03-03-2003 13:07	{doc_40c}
session_4f47	04-03-2003 10:45	{doc_2cd}
session_4f4f	04-03-2003 13:20	{doc_19a}
session_4f54	04-03-2003 14:16	{doc_2cd}
session_4f5c	04-03-2003 20:01	{doc_2cd}
session_4f5e	04-03-2003 20:19	{doc_3f3}
session_4f62	05-03-2003 08:02	{doc_356}
session_4f69	05-03-2003 10:33	{doc_24e}
session_wu45479	05-03-2003 14:03	{doc_2cd}
session_4fcb	08-03-2003 08:07	{doc_3ec}
session_4ff7	10-03-2003 09:59	{doc_9b}
session_5000	10-03-2003 15:08	{doc_42e}
session_5070	13-03-2003 11:58	{doc_ec}
session_5071	13-03-2003 12:08	{doc_11d,doc_60,doc_71}
session_5087	13-03-2003 14:46	{doc_3ec}
session_508b	13-03-2003 16:50	{doc_19d}
session_5093	13-03-2003 22:48	{doc_24e}
session_wu45d14	14-03-2003 07:48	{doc_1a4,doc_23c}
session_50a0	14-03-2003 10:48	{doc_19f,doc_2ab,doc_3fa,doc_71}
session_50a2	14-03-2003 11:27	{doc_266}
session_50a3	14-03-2003 11:36	{doc_bc}
session_50ad	14-03-2003 15:59	{doc_19f}
session_50ba	15-03-2003 13:33	{doc_2cd,doc_424,doc_6f}
session_50c1	15-03-2003 17:00	{doc_368}
session_50e8	17-03-2003 12:33	{doc_220}
session_50ea	17-03-2003 13:24	{doc_26f}
session_50ed	17-03-2003 13:45	{doc_1a1,doc_3fc}
session_5100	17-03-2003 21:43	{doc_1a2,doc_60}
session_5113	18-03-2003 09:25	{doc_1ad,doc_299,doc_40e}
session_5134	19-03-2003 12:06	{doc_11d,doc_238,doc_34f}
session_5142	19-03-2003 19:26	{doc_417}
session_515b	20-03-2003 12:43	{doc_16e}
session_5161	20-03-2003 16:05	{doc_417}
session_516f	20-03-2003 22:38	{doc_26f}
session_5178	21-03-2003 10:06	{doc_412}
session_wu46218	21-03-2003 11:18	{doc_16e}
session_5180	21-03-2003 13:44	{doc_235}
session_5185	21-03-2003 16:58	{doc_40e}
session_5187	21-03-2003 19:17	{doc_1a2,doc_26b,doc_424}
session_51b0	24-03-2003 11:00	{doc_256}
session_51c4	24-03-2003 18:36	{doc_1d2}
session_51d1	25-03-2003 10:21	{doc_e4}
session_wu4641f	25-03-2003 10:55	{doc_170,doc_1f1,doc_42c,doc_a2}
session_51d4	25-03-2003 11:10	{doc_441}
session_51e4	25-03-2003 14:31	{doc_60}
session_51e5	25-03-2003 14:31	{doc_24d,doc_2ac}
session_51e6	25-03-2003 14:36	{doc_11d}
session_51f1	26-03-2003 00:30	{doc_3ec}
session_wu4650c	26-03-2003 10:38	{doc_c3}
session_wu46562	26-03-2003 12:08	{doc_3f3}
session_5205	26-03-2003 12:48	{doc_157,doc_158,doc_171,doc_1a1}
session_520d	26-03-2003 15:36	{doc_1c4,doc_1e6,doc_22c}
session_5210	26-03-2003 16:40	{doc_24e}
session_5218	26-03-2003 18:53	{doc_24e}
session_521b	26-03-2003 19:58	{doc_424}
session_5227	27-03-2003 10:18	{doc_11d}
session_522a	27-03-2003 10:28	{doc_11d}
session_5265	29-03-2003 14:12	{doc_11d}
session_5272	30-03-2003 18:26	{doc_238,doc_441}
session_527b	31-03-2003 08:53	{doc_1bb}
session_527e	31-03-2003 09:55	{doc_60}
session_5299	31-03-2003 17:24	{doc_1a2}
session_52a3	01-04-2003 04:54	{doc_441}
session_wu468ba	01-04-2003 07:11	{doc_416,doc_42c}
session_wu468d0	01-04-2003 09:55	{doc_3f3}
session_wu4691f	01-04-2003 12:00	{doc_3fe}
session_52b0	01-04-2003 12:08	{doc_42e}
session_52b3	01-04-2003 13:11	{doc_40a}
session_wu469d6	02-04-2003 08:37	{doc_31e}
session_52c6	02-04-2003 08:54	{doc_3d6}
session_52cb	02-04-2003 10:05	{doc_26f}
session_52d0	02-04-2003 12:12	{doc_416,doc_e4}
session_52e0	02-04-2003 13:51	{doc_11d}
session_52ea	02-04-2003 17:45	{doc_11d}
session_wu46b3a	03-04-2003 13:52	{doc_24d,doc_267,doc_3fe}
session_wu46b5b	03-04-2003 16:34	{doc_364}
session_5321	03-04-2003 20:50	{doc_364,doc_36c,doc_60,doc_71}
session_5332	04-04-2003 12:56	{doc_18f}
session_5334	04-04-2003 14:18	{doc_16e,doc_3f3}
session_5326	04-04-2003 14:37	{doc_43d}
session_533e	04-04-2003 16:33	{doc_43d}
session_534d	05-04-2003 08:25	{doc_40a}
session_534f	05-04-2003 10:55	{doc_266}
session_536d	06-04-2003 15:27	{doc_60,doc_a2}
session_wu46cc0	06-04-2003 17:31	{doc_3f3}
session_5371	07-04-2003 02:23	{doc_23c}
session_537d	07-04-2003 09:36	{doc_1be,doc_23c}
session_wu46d1a	07-04-2003 09:50	{doc_6f}
session_5389	07-04-2003 13:17	{doc_3fc}
session_538e	07-04-2003 14:12	{doc_2cd}
session_5394	07-04-2003 18:04	{doc_2cd}
session_539e	07-04-2003 21:49	{doc_27a}
session_53a1	08-04-2003 06:18	{doc_3f3}
session_53a0	08-04-2003 07:06	{doc_364}
session_53d0	09-04-2003 10:13	{doc_2cd}
session_53e1	09-04-2003 17:20	{doc_11d,doc_6f}
session_wu46f51	10-04-2003 10:27	{doc_23a}
session_53fb	10-04-2003 10:35	{doc_14c}
session_53fe	10-04-2003 12:41	{doc_239}
session_540f	11-04-2003 05:41	{doc_368}
session_5425	11-04-2003 13:44	{doc_26b}
session_5427	11-04-2003 13:49	{doc_268,doc_26f}
session_5428	11-04-2003 13:53	{doc_19a}
session_543b	12-04-2003 12:38	{doc_2ae}
session_5441	12-04-2003 15:31	{doc_16e,doc_368,doc_6f}
session_5443	12-04-2003 16:44	{doc_276}
session_5447	12-04-2003 17:25	{doc_40e,doc_43d}
session_544b	12-04-2003 18:05	{doc_2cd,doc_368}
session_544a	12-04-2003 18:05	{doc_403}
session_544e	12-04-2003 18:54	{doc_34f}
session_5453	12-04-2003 20:31	{doc_42e,doc_43d}
session_5456	13-04-2003 01:30	{doc_ce}
session_545c	13-04-2003 09:39	{doc_364,doc_43d}
session_545e	13-04-2003 09:56	{doc_3ec}
session_546f	13-04-2003 13:21	{doc_24e}
session_5471	13-04-2003 13:23	{doc_15a,doc_1c7,doc_1e6,doc_1e9,doc_251,doc_270,doc_356,doc_36c,doc_3f3,doc_40a,doc_41b,doc_41c,doc_bd,doc_c3,doc_dd,doc_f3}
session_wu470dc	13-04-2003 13:31	{doc_e4}
session_5489	13-04-2003 14:53	{doc_2cd}
session_548f	13-04-2003 17:04	{doc_18f}
session_5495	13-04-2003 18:23	{doc_15a}
session_549a	13-04-2003 18:52	{doc_364,doc_71}
session_549b	13-04-2003 19:21	{doc_3fc}
session_54a4	13-04-2003 20:16	{doc_158}
session_54c0	14-04-2003 09:25	{doc_42c}
session_54c7	14-04-2003 10:15	{doc_24e,doc_40e}
session_54d2	14-04-2003 12:58	{doc_1a2}
session_54d7	14-04-2003 14:00	{doc_19d}
session_54d8	14-04-2003 14:28	{doc_16e}
session_54f6	15-04-2003 06:13	{doc_16e}
session_550e	15-04-2003 12:31	{doc_364,doc_43d}
session_5514	15-04-2003 14:21	{doc_26b}
session_5520	15-04-2003 16:24	{doc_364,doc_43d}
session_5522	15-04-2003 17:46	{doc_11d,doc_1a2,doc_441}
session_5531	15-04-2003 20:27	{doc_71}
session_5535	15-04-2003 21:38	{doc_364,doc_f4}
session_5537	16-04-2003 04:54	{doc_19d}
session_5552	16-04-2003 12:54	{doc_36c}
session_wu472d0	16-04-2003 14:14	{doc_3f3}
session_5562	16-04-2003 16:29	{doc_364}
session_5566	16-04-2003 18:43	{doc_1a4}
session_5577	17-04-2003 08:00	{doc_441}
session_558a	17-04-2003 13:17	{doc_11d,doc_24e,doc_364,doc_441,doc_71,doc_ec}
session_558b	17-04-2003 13:32	{doc_11d}
session_5590	17-04-2003 16:47	{doc_1e7,doc_1e8,doc_239,doc_23b,doc_23c}
session_5596	17-04-2003 19:18	{doc_266}
session_559b	18-04-2003 06:01	{doc_267,doc_2b0}
session_559c	18-04-2003 06:04	{doc_159,doc_412}
session_559f	18-04-2003 06:28	{doc_2cd,doc_42c}
session_55ba	19-04-2003 13:07	{doc_60,doc_6f,doc_ce}
session_55bd	19-04-2003 13:45	{doc_424,doc_ce}
session_55bf	19-04-2003 14:16	{doc_424}
session_55d4	20-04-2003 20:41	{doc_2cd,doc_43d}
session_55e5	21-04-2003 19:46	{doc_36c,doc_3ec,doc_3f3}
session_wu474ca	22-04-2003 08:35	{doc_f2}
session_5614	23-04-2003 08:42	{doc_60}
session_564b	24-04-2003 10:13	{doc_14c}
session_564d	24-04-2003 10:17	{doc_19f,doc_2cd}
session_wu4763f	24-04-2003 10:30	{doc_47f}
session_565f	24-04-2003 17:20	{doc_1a2,doc_24e,doc_364}
session_5670	25-04-2003 08:06	{doc_1bf,doc_1c0,doc_1ef,doc_24e,doc_41d}
session_5678	25-04-2003 10:45	{doc_1c7}
session_5681	25-04-2003 14:34	{doc_24e}
session_5689	25-04-2003 19:14	{doc_271}
session_568d	26-04-2003 00:29	{doc_43d}
session_5697	26-04-2003 14:37	{doc_14c}
session_569a	26-04-2003 17:42	{doc_1ad,doc_1c0,doc_1e3,doc_1eb,doc_1ec,doc_1ef,doc_dd}
session_569b	26-04-2003 18:02	{doc_18a,doc_1ab,doc_1d0,doc_1d1}
session_569c	26-04-2003 18:09	{doc_188,doc_1a8,doc_1a9,doc_1d2,doc_21f,doc_226,doc_227}
session_56b3	28-04-2003 07:36	{doc_71}
session_56be	28-04-2003 11:25	{doc_364,doc_71,doc_9b,doc_ec}
session_56dd	29-04-2003 09:35	{doc_27a}
session_56e2	29-04-2003 10:30	{doc_14c,doc_150,doc_151,doc_153,doc_156,doc_16f,doc_18c,doc_1e0,doc_1e3,doc_1ed,doc_1ef,doc_23a,doc_268,doc_301,doc_31e,doc_3c3,doc_3f3,doc_40e,doc_412,doc_45a,doc_a2,doc_bc}
session_wu479a0	29-04-2003 11:18	{doc_3f3}
session_56ee	29-04-2003 13:25	{doc_26b}
session_56f4	29-04-2003 15:11	{doc_24e}
session_56f6	29-04-2003 16:16	{doc_2cd}
session_5700	30-04-2003 06:09	{doc_24e}
session_5702	30-04-2003 06:42	{doc_45a}
session_5703	30-04-2003 06:46	{doc_268}
session_5709	30-04-2003 09:07	{doc_267}
session_5712	30-04-2003 11:21	{doc_3d6}
session_5714	30-04-2003 11:58	{doc_11d}
session_5739	01-05-2003 14:29	{doc_11d,doc_1a2,doc_3ec,doc_60}
session_573a	01-05-2003 15:54	{doc_403}
session_574e	02-05-2003 12:15	{doc_e4}
session_5752	02-05-2003 13:07	{doc_156}
session_575d	02-05-2003 20:05	{doc_150,doc_3c3}
session_5760	03-05-2003 07:40	{doc_3fa}
session_5761	03-05-2003 07:45	{doc_19f,doc_424}
session_5765	03-05-2003 10:15	{doc_15c,doc_19f}
session_577b	04-05-2003 17:09	{doc_255}
session_5787	05-05-2003 10:51	{doc_364}
session_57a4	05-05-2003 18:58	{doc_171,doc_185}
session_57c5	06-05-2003 14:56	{doc_11d}
session_57e0	07-05-2003 11:23	{doc_441}
session_57e9	07-05-2003 12:59	{doc_1a2,doc_1a4}
session_57f3	07-05-2003 15:03	{doc_3c4}
session_5809	08-05-2003 08:26	{doc_1d3}
session_580c	08-05-2003 09:55	{doc_156}
session_5813	08-05-2003 10:47	{doc_11d}
session_5814	08-05-2003 11:27	{doc_1a2}
session_581f	08-05-2003 12:57	{doc_ec}
session_5820	08-05-2003 13:03	{doc_1a2,doc_1f0,doc_236,doc_36c,doc_3ec,doc_3f3,doc_42e,doc_9b,doc_f4}
session_5829	08-05-2003 15:10	{doc_43d}
session_582e	08-05-2003 20:14	{doc_3ec}
session_5838	09-05-2003 07:01	{doc_43d}
session_583a	09-05-2003 08:06	{doc_170,doc_2cd}
session_5840	09-05-2003 10:40	{doc_417}
session_5841	09-05-2003 10:42	{doc_364}
session_5849	09-05-2003 16:59	{doc_364}
session_584f	10-05-2003 08:39	{doc_1e0,doc_1e1,doc_40c}
session_5859	11-05-2003 08:20	{doc_dc}
session_585b	11-05-2003 10:33	{doc_19f,doc_ec}
session_5861	11-05-2003 15:24	{doc_11d}
session_5863	11-05-2003 16:17	{doc_1a2}
session_5868	12-05-2003 00:37	{doc_19f}
session_586a	12-05-2003 07:32	{doc_26b}
session_586e	12-05-2003 09:11	{doc_255}
session_588e	12-05-2003 19:47	{doc_1ce,doc_299}
session_58c9	14-05-2003 13:10	{doc_83}
session_58d5	14-05-2003 17:38	{doc_49b}
session_58e3	15-05-2003 09:54	{doc_16e,doc_18c,doc_3d6,doc_412}
session_wu48452	15-05-2003 12:16	{doc_11d}
session_58ee	15-05-2003 13:07	{doc_ec}
session_591f	17-05-2003 08:38	{doc_364,doc_71}
session_5920	17-05-2003 08:54	{doc_15d,doc_275}
session_5925	17-05-2003 18:01	{doc_60}
session_5928	18-05-2003 09:28	{doc_6f}
session_5935	18-05-2003 20:26	{doc_19f,doc_9b}
session_593a	19-05-2003 07:37	{doc_1bd}
session_593b	19-05-2003 08:52	{doc_1f0}
session_593c	19-05-2003 09:09	{doc_1e2,doc_220}
session_593e	19-05-2003 09:13	{doc_2cd,doc_83}
session_5955	19-05-2003 18:56	{doc_11d}
session_595a	20-05-2003 05:34	{doc_11d}
session_596a	20-05-2003 12:47	{doc_43d}
session_wu48731	20-05-2003 13:22	{doc_31f}
session_596d	20-05-2003 13:29	{doc_256}
session_5970	20-05-2003 13:36	{doc_192}
session_5984	20-05-2003 21:54	{doc_3d6}
session_59a3	21-05-2003 15:15	{doc_162}
session_59b7	22-05-2003 07:39	{doc_24e}
session_wu48861	22-05-2003 10:49	{doc_41b}
session_wu48846	22-05-2003 12:06	{doc_364}
session_59be	22-05-2003 12:12	{doc_364}
session_59c8	22-05-2003 12:20	{doc_364}
session_59c9	22-05-2003 12:32	{doc_441}
session_wu4889e	22-05-2003 15:40	{doc_3f3,doc_a2}
session_59e3	23-05-2003 10:22	{doc_1c4,doc_1db,doc_1dd,doc_1e6,doc_1f1,doc_21f,doc_226,doc_22c,doc_416,doc_e4,doc_e5}
session_5a0e	25-05-2003 18:11	{doc_1d2,doc_481,doc_482,doc_f2}
session_5a1e	26-05-2003 09:05	{doc_300}
session_5a20	26-05-2003 09:57	{doc_3ec,doc_ec}
session_5a25	26-05-2003 11:01	{doc_2ab,doc_2ac,doc_2ae}
session_5a26	26-05-2003 11:18	{doc_155,doc_2ac,doc_2ae}
session_5a2b	26-05-2003 12:49	{doc_255}
session_5a30	26-05-2003 13:24	{doc_255,doc_279,doc_3fe,doc_4aa}
session_5a32	26-05-2003 13:41	{doc_481,doc_4ae}
session_5a33	26-05-2003 13:44	{doc_24e,doc_3ec,doc_ec}
session_5a44	27-05-2003 08:06	{doc_2ab}
session_5a4a	27-05-2003 11:08	{doc_2ab,doc_2ac,doc_2ae}
session_5a5d	27-05-2003 22:25	{doc_3f3,doc_481}
session_5a71	28-05-2003 11:38	{doc_279}
session_5a75	28-05-2003 12:02	{doc_60}
session_5a8c	29-05-2003 12:05	{doc_71}
session_5a90	29-05-2003 12:48	{doc_158}
session_5a91	29-05-2003 13:10	{doc_158}
session_5aaa	30-05-2003 13:51	{doc_11d}
session_5ab0	31-05-2003 09:31	{doc_173,doc_71}
session_5abc	31-05-2003 21:15	{doc_43d}
session_5ac4	01-06-2003 15:04	{doc_24e}
session_5acd	01-06-2003 18:00	{doc_11d}
session_5b20	03-06-2003 21:25	{doc_3d6}
session_5b2d	04-06-2003 09:05	{doc_472,doc_48a,doc_48b,doc_ec}
session_5b33	04-06-2003 12:02	{doc_26f}
session_5b43	05-06-2003 06:23	{doc_2cd}
session_5b56	05-06-2003 14:02	{doc_237,doc_238,doc_23b}
session_5b5a	05-06-2003 14:43	{doc_4ad}
session_5b5f	05-06-2003 16:24	{doc_11d,doc_24e}
session_5b6a	05-06-2003 21:04	{doc_1d2}
session_5b79	06-06-2003 09:44	{doc_424}
session_5b77	06-06-2003 09:50	{doc_197}
session_5b7a	06-06-2003 10:02	{doc_71}
session_5b84	06-06-2003 12:05	{doc_163,doc_164,doc_16c,doc_4b4}
session_wu49076	09-06-2003 08:31	{doc_489}
session_5be8	10-06-2003 16:42	{doc_9b}
session_wu4915b	10-06-2003 17:55	{doc_60,doc_a2}
session_5bf6	11-06-2003 12:28	{doc_24e}
session_5bfc	11-06-2003 16:36	{doc_11d}
session_5bfe	11-06-2003 18:26	{doc_24e}
session_5c0d	12-06-2003 07:48	{doc_2cd}
session_5c0f	12-06-2003 08:05	{doc_4b4}
session_5c14	12-06-2003 10:01	{doc_24e}
session_5c19	12-06-2003 11:10	{doc_364,doc_43d,doc_71}
session_5c20	12-06-2003 12:31	{doc_3c4,doc_3d6}
session_5c30	13-06-2003 07:48	{doc_24e}
session_5c38	13-06-2003 11:00	{doc_1d7,doc_1da,doc_403,doc_410,doc_417,doc_e3,doc_e4}
session_5c43	14-06-2003 10:51	{doc_158,doc_47f}
session_5c53	15-06-2003 15:03	{doc_26b}
session_5c55	15-06-2003 16:48	{doc_24f}
session_wu4930d	15-06-2003 20:16	{doc_1a2}
session_5c64	16-06-2003 10:32	{doc_2a8}
session_5c7b	16-06-2003 16:50	{doc_24e}
session_5c7c	16-06-2003 17:27	{doc_42b}
session_5c93	17-06-2003 10:03	{doc_15e,doc_46a}
session_5c9c	17-06-2003 14:11	{doc_60}
session_5cad	18-06-2003 00:24	{doc_172}
session_5cb0	18-06-2003 06:05	{doc_470}
session_5cc3	18-06-2003 11:50	{doc_2cd}
session_5cf1	20-06-2003 07:23	{doc_43d,doc_71}
session_5cf5	20-06-2003 08:38	{doc_19f}
session_5cf7	20-06-2003 09:13	{doc_4b4}
session_5cff	20-06-2003 11:18	{doc_156,doc_162,doc_171,doc_185,doc_1a1,doc_1a7,doc_268,doc_26f,doc_3fd,doc_469,doc_48e,doc_492,doc_4aa}
session_5d07	20-06-2003 13:20	{doc_46d,doc_46e,doc_472}
session_5d0f	21-06-2003 08:32	{doc_4aa}
session_5d13	21-06-2003 13:52	{doc_364,doc_3ec,doc_60}
session_5d19	21-06-2003 18:53	{doc_24f}
session_5d1d	22-06-2003 08:11	{doc_424,doc_6f}
session_5d27	22-06-2003 17:46	{doc_469}
session_5d3d	23-06-2003 13:35	{doc_2cd}
session_5d3f	23-06-2003 13:53	{doc_1be}
session_5d48	23-06-2003 16:32	{doc_26b}
session_5d55	24-06-2003 08:04	{doc_43d}
session_5d62	24-06-2003 10:52	{doc_424}
session_5d7c	24-06-2003 18:41	{doc_1a2,doc_2cd,doc_3ec,doc_ec}
