,Predicted_Survived,PassengerDiedProbability,PassengerSurvivedProbability
420,died,0.98,0.02
421,died,0.98,0.02
422,died,1,0
423,died,1,0
424,died,1,0
425,died,1,0
426,died,1,0
427,died,1,0
428,survived,0.1,0.9
429,survived,0.04,0.96
430,died,0.92,0.08
431,survived,0,1
432,died,0.76,0.24
433,died,1,0
434,died,1,0
435,survived,0,1
436,died,0.98,0.02
437,survived,0.18,0.82
438,survived,0,1
439,survived,0,1
440,died,0.98,0.02
441,survived,0.22,0.78
442,survived,0.2,0.8
443,died,1,0
444,died,0.94,0.06
445,died,1,0
446,survived,0.22,0.78
447,survived,0.04,0.96
448,died,0.88,0.12
449,died,1,0
450,survived,0.2,0.8
451,died,1,0
452,died,0.98,0.02
453,survived,0.04,0.96
454,died,1,0
455,died,0.96,0.04
456,died,1,0
457,survived,0.46,0.54
458,died,1,0
459,survived,0.08,0.92
460,died,0.98,0.02
461,survived,0.02,0.98
462,died,1,0
463,died,1,0
464,died,1,0
465,died,0.98,0.02
466,survived,0.06,0.94
467,died,1,0
468,survived,0.02,0.98
469,survived,0.08,0.92
471,died,1,0
472,survived,0.12,0.88
473,died,0.98,0.02
475,died,1,0
476,survived,0.04,0.96
477,died,0.9,0.1
479,survived,0,1
480,survived,0.02,0.98
481,died,0.82,0.18
482,survived,0,1
483,survived,0.08,0.92
485,survived,0.06,0.94
486,died,1,0
487,died,1,0
488,died,1,0
489,died,1,0
490,survived,0.08,0.92
491,survived,0.32,0.68
493,survived,0.06,0.94
494,died,0.9,0.1
495,survived,0.02,0.98
497,died,1,0
498,died,1,0
499,died,0.98,0.02
500,died,1,0
501,died,0.98,0.02
502,survived,0.02,0.98
503,survived,0.02,0.98
504,died,0.96,0.04
505,died,1,0
506,died,0.98,0.02
507,died,1,0
508,died,1,0
509,died,1,0
510,died,1,0
511,died,1,0
512,died,1,0
513,died,0.98,0.02
514,survived,0.14,0.86
515,survived,0.02,0.98
516,survived,0.02,0.98
517,died,0.9,0.1
518,died,1,0
519,died,0.74,0.26
520,died,1,0
521,died,0.86,0.14
522,survived,0.06,0.94
523,died,1,0
524,died,1,0
526,died,1,0
527,died,0.96,0.04
528,died,1,0
530,survived,0.1,0.9
531,died,0.96,0.04
533,died,0.98,0.02
534,survived,0,1
535,survived,0.06,0.94
536,died,0.96,0.04
537,survived,0.06,0.94
538,died,1,0
539,died,1,0
540,died,1,0
541,survived,0.04,0.96
542,survived,0.02,0.98
543,survived,0.02,0.98
544,died,1,0
545,died,1,0
546,survived,0.06,0.94
547,survived,0.06,0.94
548,died,1,0
549,survived,0.02,0.98
550,survived,0.02,0.98
551,survived,0,1
552,survived,0.16,0.84
553,died,0.96,0.04
554,survived,0.06,0.94
555,died,1,0
556,died,1,0
557,died,1,0
558,survived,0.02,0.98
559,survived,0.06,0.94
560,survived,0.06,0.94
561,survived,0.1,0.9
562,died,1,0
563,survived,0.1,0.9
564,died,1,0
565,survived,0.14,0.86
566,died,1,0
567,died,0.98,0.02
568,died,1,0
569,died,1,0
570,died,0.9,0.1
571,survived,0.16,0.84
572,died,1,0
573,survived,0.06,0.94
574,survived,0.06,0.94
575,died,0.98,0.02
576,survived,0.06,0.94
577,died,1,0
578,survived,0.06,0.94
579,died,1,0
580,died,1,0
581,survived,0.06,0.94
583,survived,0.08,0.92
584,survived,0.14,0.86
585,survived,0.06,0.94
586,died,1,0
587,survived,0.04,0.96
588,survived,0.02,0.98
589,survived,0.02,0.98
590,survived,0.02,0.98
591,survived,0,1
592,survived,0.02,0.98
593,died,0.92,0.08
594,survived,0.06,0.94
595,died,1,0
597,died,1,0
599,survived,0.06,0.94
600,survived,0.12,0.88
601,died,1,0
602,died,0.74,0.26
603,died,0.92,0.08
604,died,0.6,0.4
605,survived,0.18,0.82
606,died,0.98,0.02
607,died,0.96,0.04
608,survived,0.34,0.66
609,died,1,0
610,died,1,0
611,died,0.6,0.4
612,survived,0.26,0.74
613,survived,0.36,0.64
614,died,1,0
615,died,1,0
616,died,0.96,0.04
617,died,1,0
618,died,0.98,0.02
619,died,1,0
620,died,1,0
621,died,0.86,0.14
622,died,0.52,0.48
623,died,0.7,0.3
624,died,0.88,0.12
625,died,0.88,0.12
626,died,0.62,0.38
627,died,0.8,0.2
628,died,0.94,0.06
629,died,0.92,0.08
630,died,0.98,0.02
631,died,1,0
632,died,1,0
633,died,0.86,0.14
634,died,0.96,0.04
635,died,1,0
636,died,0.94,0.06
637,died,0.56,0.44
638,died,1,0
639,died,1,0
640,died,0.86,0.14
641,died,0.94,0.06
642,died,0.68,0.32
643,died,1,0
644,died,0.88,0.12
645,died,1,0
646,died,1,0
647,survived,0.46,0.54
648,survived,0.4,0.6
649,died,1,0
650,died,1,0
651,survived,0.32,0.68
652,died,1,0
653,died,1,0
654,survived,0.26,0.74
655,died,0.96,0.04
656,died,0.84,0.16
657,survived,0.3,0.7
658,survived,0.18,0.82
659,survived,0.18,0.82
660,survived,0.32,0.68
661,survived,0.32,0.68
662,survived,0.34,0.66
663,died,1,0
664,died,1,0
665,died,0.96,0.04
666,survived,0.36,0.64
667,died,0.74,0.26
668,died,0.68,0.32
669,died,1,0
670,died,1,0
671,died,1,0
672,died,1,0
674,died,0.96,0.04
675,died,0.86,0.14
676,died,1,0
677,died,1,0
678,died,1,0
679,survived,0.48,0.52
680,survived,0.34,0.66
684,died,0.96,0.04
685,died,0.68,0.32
686,died,1,0
687,died,0.58,0.42
688,died,0.56,0.44
689,died,0.96,0.04
690,died,0.98,0.02
691,died,1,0
692,died,1,0
693,survived,0.5,0.5
694,died,1,0
695,died,1,0
696,survived,0.34,0.66
697,died,0.58,0.42
698,died,0.64,0.36
699,died,1,0
700,died,1,0
701,died,1,0
702,died,1,0
703,died,0.58,0.42
704,died,1,0
705,died,1,0
708,died,1,0
709,died,1,0
710,survived,0.18,0.82
711,died,0.58,0.42
712,died,1,0
713,died,1,0
714,died,1,0
715,died,0.86,0.14
716,died,0.94,0.06
717,died,0.98,0.02
718,died,0.98,0.02
719,died,0.96,0.04
720,died,1,0
721,died,1,0
722,died,1,0
723,died,1,0
724,died,1,0
725,died,1,0
726,died,0.58,0.42
727,died,0.64,0.36
728,died,1,0
729,died,1,0
730,died,1,0
731,died,1,0
732,died,1,0
733,died,1,0
734,survived,0.32,0.68
735,survived,0.28,0.72
736,died,0.52,0.48
737,died,1,0
738,died,1,0
739,survived,0.22,0.78
740,died,0.9,0.1
741,died,1,0
742,died,1,0
743,died,0.76,0.24
744,died,0.58,0.42
745,died,1,0
746,died,0.64,0.36
747,died,0.94,0.06
748,died,0.76,0.24
749,died,1,0
750,died,0.58,0.42
751,died,1,0
752,died,0.98,0.02
753,died,0.98,0.02
754,died,1,0
755,died,1,0
756,died,1,0
759,died,0.88,0.12
760,died,0.52,0.48
761,died,1,0
762,died,0.96,0.04
763,died,0.52,0.48
764,survived,0.34,0.66
765,died,0.94,0.06
766,died,0.62,0.38
767,died,0.98,0.02
770,died,1,0
771,died,1,0
772,survived,0.48,0.52
773,died,1,0
774,died,1,0
775,died,1,0
777,died,0.86,0.14
778,died,1,0
779,died,0.64,0.36
780,died,0.64,0.36
781,died,0.54,0.46
782,died,1,0
783,died,1,0
784,died,1,0
785,died,1,0
786,died,0.64,0.36
787,died,1,0
788,died,0.96,0.04
789,died,0.76,0.24
791,died,0.92,0.08
792,died,0.96,0.04
793,died,0.9,0.1
794,died,0.96,0.04
795,survived,0.18,0.82
797,died,1,0
798,died,1,0
800,died,1,0
804,died,1,0
807,died,0.76,0.24
808,died,0.68,0.32
810,died,1,0
811,died,0.98,0.02
812,died,0.84,0.16
815,died,0.98,0.02
818,died,1,0
819,survived,0.18,0.82
821,survived,0.24,0.76
822,died,1,0
823,died,1,0
824,died,0.58,0.42
825,died,1,0
826,died,0.94,0.06
827,died,0.88,0.12
828,died,1,0
829,died,0.96,0.04
830,died,0.92,0.08
831,died,1,0
832,died,1,0
833,died,0.94,0.06
834,died,1,0
835,died,0.86,0.14
837,died,0.96,0.04
838,died,0.98,0.02
839,died,1,0
840,died,1,0
841,died,0.64,0.36
842,survived,0.32,0.68
845,died,1,0
846,died,0.66,0.34
847,died,0.96,0.04
848,died,1,0
849,died,1,0
850,died,0.98,0.02
851,died,1,0
852,survived,0.5,0.5
854,died,0.98,0.02
856,died,0.88,0.12
858,died,1,0
860,survived,0.34,0.66
861,died,0.66,0.34
862,died,0.54,0.46
863,died,0.58,0.42
864,died,1,0
865,died,0.76,0.24
867,survived,0.4,0.6
868,survived,0.32,0.68
869,died,1,0
870,died,1,0
871,died,0.68,0.32
874,died,1,0
876,died,1,0
878,died,0.86,0.14
879,died,0.8,0.2
881,died,0.94,0.06
882,died,1,0
884,died,0.96,0.04
885,died,0.98,0.02
886,died,0.98,0.02
889,died,1,0
890,died,1,0
891,died,1,0
892,died,1,0
893,died,1,0
894,died,0.94,0.06
895,survived,0.22,0.78
896,survived,0.36,0.64
897,died,1,0
898,died,1,0
899,died,1,0
900,survived,0.42,0.58
905,died,1,0
906,died,0.86,0.14
907,died,1,0
908,died,0.66,0.34
909,died,0.66,0.34
910,died,0.86,0.14
911,died,1,0
912,died,1,0
913,died,1,0
914,died,1,0
915,died,1,0
916,died,1,0
917,survived,0.12,0.88
918,died,0.66,0.34
920,died,1,0
925,died,1,0
926,died,0.92,0.08
933,died,0.7,0.3
934,died,0.98,0.02
935,survived,0.32,0.68
936,died,0.94,0.06
937,died,0.52,0.48
938,survived,0.36,0.64
939,died,0.96,0.04
940,died,0.52,0.48
942,died,0.98,0.02
944,died,0.58,0.42
948,died,0.58,0.42
950,died,1,0
951,died,0.94,0.06
952,died,0.94,0.06
953,died,1,0
954,died,1,0
960,died,0.86,0.14
961,died,1,0
964,died,1,0
965,died,0.98,0.02
966,died,1,0
967,died,0.72,0.28
968,survived,0.4,0.6
969,died,0.98,0.02
970,died,0.8,0.2
971,died,0.82,0.18
973,died,1,0
975,died,1,0
976,died,0.82,0.18
978,died,0.96,0.04
979,died,1,0
980,died,1,0
981,died,0.54,0.46
982,died,0.86,0.14
986,died,1,0
987,died,1,0
991,died,0.94,0.06
993,died,0.62,0.38
996,died,1,0
997,died,1,0
1008,survived,0.2,0.8
1009,died,0.52,0.48
1011,died,0.98,0.02
1012,died,0.52,0.48
1016,died,1,0
1018,died,1,0
1020,died,1,0
1021,died,1,0
1022,died,1,0
1025,died,0.98,0.02
1026,survived,0.2,0.8
1027,survived,0.28,0.72
1032,died,1,0
1041,died,0.64,0.36
1046,died,1,0
1047,died,1,0
1048,survived,0.2,0.8
1049,survived,0.22,0.78
1050,died,0.7,0.3
1051,survived,0.36,0.64
1052,died,1,0
1057,died,0.9,0.1
1058,died,0.58,0.42
1059,died,0.74,0.26
1060,died,1,0
1061,survived,0.34,0.66
1062,died,0.66,0.34
1063,died,1,0
1064,died,1,0
1065,died,0.98,0.02
1066,died,1,0
1067,died,1,0
1068,died,0.58,0.42
1069,died,1,0
1076,died,1,0
1080,died,0.58,0.42
1083,survived,0.18,0.82
1084,died,1,0
1085,died,0.9,0.1
1087,died,0.58,0.42
1088,died,1,0
1089,died,0.86,0.14
1090,died,0.96,0.04
1091,died,0.54,0.46
1092,died,0.56,0.44
1093,died,0.96,0.04
1094,died,0.96,0.04
1095,died,0.58,0.42
1097,died,0.8,0.2
1098,died,0.82,0.18
1099,died,0.78,0.22
1100,died,0.7,0.3
1101,died,0.7,0.3
1102,died,0.94,0.06
1103,died,0.94,0.06
1104,died,0.98,0.02
1105,died,1,0
1106,died,1,0
1107,died,0.94,0.06
1108,died,1,0
1109,died,1,0
1111,died,0.86,0.14
1112,died,0.66,0.34
1113,died,0.54,0.46
1114,died,0.52,0.48
1118,died,1,0
1119,died,0.98,0.02
1120,died,1,0
1121,died,0.94,0.06
1126,died,1,0
1127,died,0.76,0.24
1128,died,1,0
1130,died,0.94,0.06
1131,survived,0.34,0.66
1132,died,0.86,0.14
1134,died,1,0
1135,died,1,0
1140,died,1,0
1141,died,1,0
1142,died,0.98,0.02
1143,died,0.94,0.06
1144,died,0.94,0.06
1145,died,0.98,0.02
1146,died,0.98,0.02
1147,died,0.9,0.1
1148,died,0.58,0.42
1149,died,1,0
1153,died,0.98,0.02
1154,died,0.56,0.44
1157,died,0.56,0.44
1158,died,0.96,0.04
1159,died,0.82,0.18
1161,died,1,0
1162,died,0.96,0.04
1166,died,0.98,0.02
1170,died,1,0
1172,died,1,0
1182,died,1,0
1183,died,0.58,0.42
1184,died,0.98,0.02
1188,survived,0.36,0.64
1189,survived,0.34,0.66
1190,survived,0.28,0.72
1191,died,0.98,0.02
1192,died,0.96,0.04
1193,died,1,0
1197,died,0.94,0.06
1202,died,1,0
1204,died,1,0
1205,died,1,0
1206,survived,0.34,0.66
1207,died,0.64,0.36
1208,died,0.84,0.16
1209,died,0.88,0.12
1210,died,0.82,0.18
1211,died,1,0
1212,died,0.98,0.02
1218,died,1,0
1219,died,1,0
1221,died,0.86,0.14
1223,died,1,0
1224,died,0.54,0.46
1225,died,1,0
1226,died,1,0
1227,died,1,0
1228,died,0.58,0.42
1229,died,1,0
1230,died,1,0
1231,survived,0.4,0.6
1232,died,0.66,0.34
1233,died,0.96,0.04
1234,died,0.92,0.08
1235,died,0.98,0.02
1236,died,1,0
1237,died,0.72,0.28
1238,died,1,0
1239,died,0.98,0.02
1240,died,1,0
1241,died,0.58,0.42
1245,survived,0.18,0.82
1249,died,0.86,0.14
1252,died,1,0
1253,died,0.92,0.08
1255,died,0.98,0.02
1257,survived,0.36,0.64
1258,survived,0.34,0.66
1259,survived,0.48,0.52
1260,died,1,0
1261,survived,0.34,0.66
1262,died,0.5,0.5
1264,died,0.82,0.18
1265,died,0.98,0.02
1266,died,0.5,0.5
1267,died,0.98,0.02
1268,died,0.68,0.32
1270,died,1,0
1271,died,1,0
1272,died,1,0
1273,died,0.96,0.04
1274,died,0.52,0.48
1275,died,0.96,0.04
1276,died,0.98,0.02
1277,died,0.72,0.28
1278,died,1,0
1279,died,0.96,0.04
1280,survived,0.34,0.66
1281,died,1,0
1282,died,1,0
1286,died,0.96,0.04
1287,survived,0.42,0.58
1288,died,1,0
1289,died,0.98,0.02
1290,died,0.96,0.04
1291,died,0.56,0.44
1295,died,1,0
1296,died,1,0
1297,died,1,0
1299,died,1,0
1300,died,1,0
1301,survived,0.32,0.68
1302,died,0.96,0.04
1305,died,0.58,0.42
1307,died,1,0
1308,died,1,0
1309,died,0.94,0.06
