,Predicted_Type,FirstClassWineProbability,SecondClassWineProbability,ThirdClassWineProbability
73,2,2.19845304436388e-58,1,2.52493210746707e-27
74,2,1.50826121599044e-53,1,4.64591977438826e-33
75,2,4.40178098188555e-13,0.999997077592996,2.92240656412965e-06
76,2,5.10421474738832e-52,1,2.08500840173008e-56
77,2,4.58646755730731e-58,1,1.00986129281919e-59
78,2,1.89837745259576e-31,1,8.60621427649225e-31
79,2,8.59941896638653e-41,1,2.26181696495637e-52
80,2,5.67077662474135e-61,1,7.48638650716953e-66
81,2,1.33197632010389e-95,1,2.97571974815655e-98
82,2,3.9845759648837e-13,0.999999999999602,2.08213365691467e-31
83,2,1.73037220290233e-75,1,6.57381494505263e-50
84,2,7.7667912886755e-40,1,1.17658908308648e-19
85,2,1.31045891893177e-26,1,2.56370310010188e-33
86,2,2.4372639374384e-57,1,4.79647599429942e-62
87,2,6.32170567724486e-91,1,2.52393088150186e-68
88,2,3.71767651542016e-86,1,1.32108491919202e-61
89,2,8.07854231712468e-34,1,3.88091184896839e-26
90,2,1.73067556923194e-69,1,6.51600239156221e-45
91,2,1.05216541852695e-57,1,1.17448637638426e-51
92,2,3.00843560638863e-77,1,1.35756301635863e-52
93,2,1.42697507340953e-66,1,7.97749569166233e-44
94,2,6.09899300150937e-62,1,7.05171222234563e-76
95,2,1.75481419684805e-47,1,5.60329766727764e-57
96,2,5.75908483880203e-47,1,2.83702398290278e-55
97,2,1.30898141236496e-36,0.999999991209926,8.79007386914455e-09
98,2,1.37990820275596e-51,1,1.46254335412192e-70
99,2,3.34685763462701e-10,0.999999999665314,2.1770299642911e-39
100,2,2.05227044358102e-72,1,8.4047687811064e-104
101,2,1.31694614248567e-33,1,5.87966659229541e-49
102,2,1.06053735519316e-54,1,3.18674201647181e-41
103,2,3.74933701442144e-32,1,7.22733524329038e-31
104,2,1.23489268601535e-77,1,9.32925203186618e-58
105,2,1.6784362326794e-41,1,1.91870790246949e-39
106,2,1.99271289792877e-74,1,7.45388488053754e-67
107,2,2.66945253459466e-42,1,9.64992374056697e-48
108,2,8.04212125292176e-63,1,1.83963457435521e-39
109,2,3.0677870290584e-85,1,2.50333811654229e-76
110,2,1.6253037534175e-18,1,3.0647544164028e-39
111,2,1.1875737337494e-62,1,4.19919223101603e-66
112,2,1.42426731847045e-57,1,1.48105568991964e-47
113,2,3.6213246356938e-09,0.999999996378675,2.64748049382238e-28
114,2,4.4664082371213e-69,1,8.27224500321758e-56
115,2,1.30207169591273e-54,1,1.11334469806159e-46
116,2,3.60795028352999e-125,1,3.43077454487422e-127
117,2,8.66674406471838e-72,1,8.2691313846275e-56
118,2,1.09876396706434e-91,1,3.52684076825693e-75
119,2,1.04183401381892e-15,0.999999999856663,1.43335767380154e-10
120,2,1.48267667676437e-46,1,8.76836247161231e-47
121,2,5.23872068827483e-08,0.999999947612793,5.56228754044498e-28
122,2,9.75860553252449e-16,0.999999999999999,1.60253083983204e-53
123,2,2.36704224192811e-65,1,1.21199477292826e-48
124,2,2.63344583178146e-25,1,2.8798672936496e-34
125,2,4.02667100397786e-35,1,9.7293468608022e-55
126,2,8.72032569094095e-49,1,2.12851843417344e-53
127,2,4.13556404334552e-44,1,3.26787210671833e-46
128,2,4.33483898796613e-89,1,4.00551838596003e-55
129,2,2.49809256263229e-92,1,3.9717866506384e-69
130,2,7.35097853706019e-19,0.999999999674175,3.25825259869858e-10
131,3,1.09391960030088e-25,3.71164268716974e-20,1
132,3,4.92604879909507e-27,3.00088910029252e-26,1
133,3,1.54148526613023e-52,3.13932595189278e-27,1
134,3,9.59977855536581e-35,5.4977708809095e-31,1
135,3,2.12492118359331e-32,1.23045419537486e-08,0.999999987695458
136,3,1.05032476088205e-25,7.85557956380686e-24,1
137,3,1.71914726091794e-31,1.18992411603911e-37,1
138,3,3.75926584137109e-43,3.8591643922599e-07,0.999999614083561
139,3,5.61061707823821e-32,7.3149442642686e-15,0.999999999999993
140,3,4.20036016402246e-47,2.16722290127618e-07,0.99999978327771
141,3,4.14840264312396e-31,1.50654993853619e-21,1
142,3,4.59760567095295e-30,7.19638559998273e-48,1
143,3,4.20505523348456e-45,2.17014533459652e-14,0.999999999999978
144,3,2.27944473306202e-21,9.99753094844179e-11,0.999999999900025
145,3,1.34457941648468e-13,2.56067434140756e-57,0.999999999999865
146,3,7.27137452016684e-41,3.24662143732773e-37,1
147,3,1.02650445735443e-42,2.16858626433428e-36,1
148,3,1.60565144451223e-32,2.74844232783238e-54,1
149,3,3.32344347155079e-42,1.65289884514255e-47,1
150,3,5.94160723322332e-28,2.33699241630041e-43,1
151,3,1.88477453750355e-41,1.07510081336808e-39,1
152,3,4.94932842534325e-37,3.18083757599628e-46,1
153,3,3.38520265259683e-63,8.71781330869652e-17,1
154,3,4.17404100543307e-24,8.03590626626499e-39,1
155,3,5.39611621683863e-46,4.97807781240464e-16,1
156,3,8.30514953811481e-36,1.7230022222e-42,1
157,3,2.44164595588269e-30,2.87605790329398e-35,1
158,3,4.75729946023853e-59,4.38888963192927e-45,1
159,3,4.79018096431059e-54,6.09036200732355e-35,1
160,3,4.27795384757189e-46,2.52119871843389e-34,1
161,3,1.98249576317447e-34,2.4332554351383e-31,1
162,3,3.14431371646412e-28,9.54500362915418e-27,1
163,3,4.77236178524865e-33,3.11353852155591e-05,0.999968864614785
164,3,2.71210283449357e-22,4.66842513742377e-36,1
165,3,1.34277844227416e-45,1.15895259087975e-42,1
166,3,3.0800178564589e-45,7.26366295475781e-16,0.999999999999999
167,3,1.39061489926865e-35,1.64874728812366e-42,1
168,3,2.68732376588976e-26,2.87437136244093e-52,1
169,3,7.5891114321062e-49,7.93934763923686e-44,1
170,3,1.03784627928448e-41,9.08129410769989e-59,1
171,3,1.0390060860926e-30,3.29678512411939e-21,1
172,3,9.13138418232822e-39,3.3049640302243e-39,1
173,3,6.43360820290299e-37,5.43098716640481e-56,1
174,3,2.1542343012285e-23,6.7437687583083e-62,1
175,3,5.28889881985435e-43,2.43449403809611e-44,1
176,3,1.30511835061483e-26,7.40230699920474e-66,1
177,3,1.39879686868418e-31,3.02470906680532e-51,1
178,3,8.88382042529696e-51,5.83476111241584e-46,1
